,Week_Number,Stlhd,TempC
0,1,15.75,4.894827586206896
1,2,14.567164179104477,4.60625
2,3,13.48062015503876,4.032653061224489
3,4,13.280303030303031,3.7731958762886597
4,5,14.577235772357724,3.7244897959183674
5,6,13.582677165354331,3.8712765957446806
6,7,16.100775193798448,3.9459183673469385
7,8,19.671875,4.154639175257732
8,9,22.907692307692308,4.48659793814433
9,10,31.37593984962406,4.8803921568627455
10,11,41.513333333333335,5.622047244094488
11,12,43.64976958525346,6.469377990430622
12,13,47.71875,7.158986175115207
13,14,54.4375,7.904147465437788
14,15,52.669642857142854,8.642857142857142
15,16,44.29017857142857,9.535023041474654
16,17,40.848214285714285,10.361751152073733
17,18,38.080357142857146,11.28479262672811
18,19,49.468468468468465,12.112442396313364
19,20,57.013392857142854,12.936405529953916
20,21,66.62331838565022,13.72090909090909
21,22,82.14349775784753,14.319642857142856
22,23,117.65625,15.044642857142858
23,24,173.30803571428572,15.622321428571428
24,25,296.11160714285717,16.317410714285714
25,26,486.76339285714283,17.244642857142857
26,27,779.8303571428571,18.225892857142856
27,28,1284.4732142857142,19.074107142857144
28,29,2055.8526785714284,19.880803571428572
29,30,2856.870535714286,20.598214285714285
30,31,3642.7008928571427,21.075892857142858
31,32,3808.191964285714,21.52276785714286
32,33,4095.589285714286,21.592857142857145
33,34,3344.816964285714,21.457589285714285
34,35,3044.7901785714284,21.164285714285715
35,36,3060.0941704035877,20.779372197309417
36,37,2956.129464285714,20.255803571428572
37,38,2476.6428571428573,19.597169811320757
38,39,1561.0714285714287,19.11436170212766
39,40,861.59375,18.5625
40,41,503.61607142857144,17.604761904761904
41,42,313.41964285714283,16.537724550898204
42,43,176.14285714285714,15.45568862275449
43,44,109.04910714285714,14.223952095808384
44,45,67.8609865470852,12.976219512195122
45,46,51.178403755868544,11.975641025641027
46,47,38.13013698630137,10.77
47,48,28.593984962406015,9.335064935064937
48,49,24.082706766917294,8.20921052631579
49,50,23.0234375,7.076623376623377
50,51,17.977272727272727,6.203896103896104
51,52,18.46511627906977,5.556
52,53,16.013698630136986,5.1204081632653065
