weeknumber,maxtempf,mintempf,precipitationinch,watertempf,stlheadcount
1,41.833333333333336,32.18518518518518,0.36648148148148146,40.86,17.185185185185187
2,42.043956043956044,32.934065934065934,0.4106593406593406,40.36505494505494,17.395604395604394
3,41.98876404494382,33.550561797752806,0.3206741573033708,39.60044943820225,16.258426966292134
4,44.470588235294116,35.082352941176474,0.31670588235294117,38.81670588235294,14.552941176470588
5,47.13253012048193,37.06024096385542,0.46120481927710844,39.098072289156626,16.879518072289155
6,46.10126582278481,34.860759493670884,0.2891139240506329,39.026835443037974,14.443037974683545
7,48.48888888888889,35.75555555555555,0.2594444444444445,39.184,18.41111111111111
8,49.344086021505376,35.96774193548387,0.33322580645161287,39.563870967741934,19.86021505376344
9,48.86813186813187,35.51648351648352,0.25043956043956045,40.06241758241758,22.505494505494507
10,51.898989898989896,36.101010101010104,0.3708080808080808,40.765454545454546,32.484848484848484
11,55.34710743801653,38.36363636363637,0.2877685950413223,42.10380165289256,43.37190082644628
12,55.10204081632653,38.683673469387756,0.276734693877551,43.631122448979596,43.892857142857146
13,56.004926108374384,39.6551724137931,0.2359605911330049,44.890837438423645,48.083743842364534
14,58.20095693779904,40.50239234449761,0.2669377990430622,46.22430622009569,55.751196172248804
15,58.096774193548384,41.59447004608295,0.27087557603686635,47.55714285714286,53.69585253456221
16,59.72857142857143,42.371428571428574,0.21461904761904763,49.166000000000004,45.30952380952381
17,62.89523809523809,43.50476190476191,0.18266666666666667,50.6,41.457142857142856
18,64.39810426540285,43.99526066350711,0.17284360189573458,52.320379146919436,39.056872037914694
19,65.92990654205607,45.8177570093458,0.14158878504672898,53.81364485981309,50.55607476635514
20,67.62616822429906,47.74766355140187,0.13018691588785047,55.27971962616823,58.705607476635514
21,67.5311004784689,48.708133971291865,0.15913875598086125,56.71598086124401,67.4688995215311
22,69.74647887323944,50.751173708920184,0.10981220657276995,57.81183098591549,81.78403755868544
23,70.6606334841629,50.79185520361991,0.13380090497737557,59.09936651583711,117.8868778280543
24,69.97674418604652,51.776744186046514,0.1386511627906977,60.151162790697676,169.68837209302325
25,72.0324074074074,52.22222222222222,0.09523148148148149,61.399166666666666,285.31481481481484
26,75.65876777251185,54.70142180094787,0.09962085308056871,63.07857819905213,485.02843601895734
27,77.9590909090909,55.86363636363637,0.02259090909090909,64.83854545454545,777.0
28,78.88888888888889,56.52777777777778,0.027962962962962964,66.34083333333334,1294.625
29,79.34722222222223,57.648148148148145,0.015370370370370371,67.79083333333334,2077.287037037037
30,81.10091743119266,58.20183486238532,0.014541284403669724,69.03293577981651,2858.669724770642
31,82.51886792452831,58.367924528301884,0.013773584905660377,69.92650943396227,3534.7311320754716
32,81.63594470046083,58.824884792626726,0.01866359447004608,70.73815668202765,3780.672811059908
33,81.34862385321101,58.69724770642202,0.0181651376146789,70.87669724770643,4089.940366972477
34,79.93212669683258,57.574660633484164,0.02918552036199095,70.64135746606335,3346.6153846153848
35,80.12328767123287,56.1324200913242,0.05123287671232877,70.12054794520547,3017.4018264840183
36,78.16363636363636,55.6,0.04627272727272727,69.39581818181819,3058.4045454545453
37,77.12093023255814,54.097674418604655,0.048325581395348836,68.48223255813954,2937.33488372093
38,73.27751196172248,52.99043062200957,0.11894736842105263,67.27827751196172,2514.8612440191387
39,74.06521739130434,52.34782608695652,0.10625,66.43184782608695,1660.0108695652175
40,70.76729559748428,50.886792452830186,0.149937106918239,65.49132075471698,932.8301886792453
41,65.9496855345912,48.55974842767296,0.20855345911949683,63.682264150943396,523.5157232704403
42,63.37267080745342,46.962732919254655,0.1891304347826087,61.779378881987576,340.2608695652174
43,62.62420382165605,46.10191082802548,0.19681528662420383,59.80140127388535,193.20382165605096
44,57.97530864197531,42.89506172839506,0.30462962962962964,57.60222222222222,122.48148148148148
45,55.069182389937104,42.58490566037736,0.5133333333333333,55.38415094339623,72.59748427672956
46,53.266666666666666,41.61333333333334,0.3382,53.5436,59.526666666666664
47,49.770114942528735,38.81609195402299,0.36919540229885056,51.462758620689655,48.252873563218394
48,46.0945945945946,36.08108108108108,0.34905405405405404,48.85918918918919,36.63513513513514
49,44.391891891891895,35.013513513513516,0.3833783783783784,46.76486486486486,31.87837837837838
50,42.12328767123287,32.76712328767123,0.30753424657534245,44.63945205479452,27.589041095890412
51,41.306666666666665,32.906666666666666,0.35146666666666665,43.1528,19.186666666666667
52,41.66153846153846,33.92307692307692,0.40446153846153843,42.10769230769231,19.615384615384617
53,43.47727272727273,35.02272727272727,0.5943181818181817,41.29454545454546,18.5
