day,maxtempf,mintempf,precipitationinch,watertempf,shadcount
78,51.0,38.0,0.1,39.92,1
79,56.0,38.0,0.62,39.92,2
80,57.0,38.0,0.0,41.0,8
105,62.0,48.0,0.17,51.98,1
106,69.0,50.0,0.0,51.98,1
107,68.0,50.0,0.19,51.98,5
109,59.0,48.0,0.69,51.98,2
110,62.0,39.0,0.0,50.0,1
113,58.0,47.0,0.45,53.06,1
114,55.666666666666664,41.333333333333336,0.21333333333333335,52.34,1
115,59.0,41.5,0.215,50.989999999999995,1
116,62.5,40.5,0.01,52.25,8
117,68.75,41.0,0.0,53.15,3
118,65.0,45.333333333333336,0.30666666666666664,53.24,9
119,63.5,46.5,0.25666666666666665,53.089999999999996,11
120,67.5,47.375,0.29375,53.8925,23
121,68.55555555555556,46.666666666666664,0.3566666666666667,53.72,11
122,67.3,46.8,0.164,54.05,10
123,67.83333333333333,46.0,0.09749999999999999,54.065,26
124,69.6,47.2,0.15333333333333332,54.164,45
125,67.52941176470588,48.05882352941177,0.15235294117647058,54.16117647058824,75
126,68.7,48.1,0.085,54.410000000000004,177
127,68.0,47.391304347826086,0.12043478260869565,54.50782608695653,249
128,68.04545454545455,47.04545454545455,0.12272727272727274,54.958181818181814,307
129,68.56521739130434,45.69565217391305,0.13043478260869565,54.75043478260869,245
130,66.65217391304348,47.130434782608695,0.16043478260869565,55.03217391304348,344
131,68.14285714285714,47.142857142857146,0.06892857142857142,54.93714285714286,473
132,66.14814814814815,48.22222222222222,0.16074074074074074,55.17333333333334,602
133,65.57142857142857,46.392857142857146,0.09964285714285714,55.22642857142857,602
134,67.63333333333334,45.9,0.13499999999999998,55.178,912
135,70.23333333333333,48.233333333333334,0.20433333333333334,55.477999999999994,1976
136,68.41379310344827,49.48275862068966,0.1417241379310345,55.79724137931034,2485
137,66.83333333333333,48.96666666666667,0.15066666666666664,55.928,2494
138,67.12903225806451,49.25806451612903,0.15451612903225806,56.09096774193548,4003
139,69.06451612903226,49.354838709677416,0.10322580645161289,56.288387096774194,4484
140,67.06451612903226,48.645161290322584,0.14161290322580644,56.509032258064515,5890
141,65.96666666666667,47.93333333333333,0.109,56.666000000000004,6397
142,67.74193548387096,48.16129032258065,0.09774193548387096,56.78193548387097,7021
143,67.96666666666667,48.46666666666667,0.162,56.995999999999995,8016
144,68.93103448275862,49.6551724137931,0.12931034482758622,56.945517241379314,11826
145,68.19354838709677,49.096774193548384,0.09483870967741935,57.472903225806455,16110
146,69.0,49.6,0.15466666666666665,57.518,19971
147,69.93548387096774,50.806451612903224,0.09419354838709677,57.7341935483871,24065
148,69.74193548387096,51.645161290322584,0.12129032258064516,57.7341935483871,26333
149,68.33333333333333,50.63333333333333,0.205,57.943999999999996,29587
150,68.875,50.09375,0.1428125,57.92,33451
151,70.87096774193549,50.12903225806452,0.06903225806451613,58.303225806451614,54211
152,71.70967741935483,52.0,0.10903225806451612,58.593548387096774,59268
153,70.58064516129032,51.58064516129032,0.13129032258064516,58.332258064516125,55884
154,71.6875,51.5,0.135625,59.016875,61899
155,72.03225806451613,50.903225806451616,0.0996774193548387,59.20903225806452,68336
156,72.0625,50.625,0.121875,59.36,93835
157,71.9375,51.125,0.16125,59.523125,91737
158,70.625,51.5625,0.1496875,59.613125,86240
159,70.2258064516129,51.935483870967744,0.13419354838709677,59.80129032258064,86902
160,70.29032258064517,51.516129032258064,0.1406451612903226,59.88258064516129,108377
161,69.64516129032258,51.03225806451613,0.16032258064516128,60.02774193548387,89204
162,67.7741935483871,50.58064516129032,0.20225806451612904,60.0858064516129,95308
163,70.25806451612904,51.41935483870968,0.10741935483870968,60.21354838709677,101033
164,71.26666666666667,52.53333333333333,0.194,60.608,99516
165,69.64516129032258,52.935483870967744,0.1038709677419355,60.678064516129034,94167
166,68.56666666666666,51.766666666666666,0.09166666666666666,60.884,88856
167,69.84375,51.4375,0.1375,60.895625,87867
168,69.90322580645162,51.58064516129032,0.11709677419354839,61.03806451612903,99083
169,73.03125,52.25,0.0628125,61.32875,108479
170,72.29032258064517,52.29032258064516,0.09806451612903226,61.70580645161291,105204
171,73.65517241379311,52.241379310344826,0.08689655172413793,61.867586206896554,108921
172,74.6896551724138,53.41379310344828,0.038965517241379304,62.17793103448276,107130
173,75.03225806451613,53.774193548387096,0.12000000000000001,62.35032258064516,97096
174,73.86666666666666,54.53333333333333,0.025333333333333333,62.6,96184
175,75.1,54.266666666666666,0.05,62.966,84754
176,74.93548387096774,54.193548387096776,0.15064516129032257,62.93096774193549,74059
177,76.12903225806451,55.03225806451613,0.06870967741935484,63.25032258064516,62764
178,77.93548387096774,55.25806451612903,0.09322580645161291,63.54064516129032,59029
179,78.93333333333334,55.9,0.071,63.788000000000004,44007
180,77.89655172413794,55.62068965517241,0.09896551724137931,64.16413793103449,34238
181,78.06451612903226,56.38709677419355,0.02225806451612903,64.4116129032258,36149
182,78.06666666666666,56.8,0.03766666666666666,64.646,28624
183,76.90322580645162,55.74193548387097,0.022580645161290325,64.73677419354838,21609
184,76.28125,55.75,0.026875000000000003,64.88374999999999,18330
185,77.21875,55.625,0.0171875,65.103125,17155
186,77.8125,55.5,0.013125000000000001,65.28875,14999
187,75.46875,55.40625,0.04625,65.51375,10367
188,76.87096774193549,55.41935483870968,0.012903225806451611,65.69483870967741,9321
189,77.80645161290323,56.225806451612904,0.00870967741935484,66.08387096774193,9319
190,79.76666666666667,56.03333333333333,0.065,66.272,9090
191,79.4,56.96666666666667,0.04766666666666666,66.71,7366
