Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2016,,2,1,18,8,,,,,,,,,
Bonneville,1/2/2016,,1,,21,9,,,,,,,,,
Bonneville,1/3/2016,,,,6,2,,,,,,,,,
Bonneville,1/4/2016,,,,15,7,,,,,,,,,
Bonneville,1/5/2016,,,,17,6,,,,,,,,,
Bonneville,1/6/2016,,-1,,6,1,,,,,,,,,
Bonneville,1/7/2016,,,,7,3,,,,,,,,,
Bonneville,1/8/2016,,1,,14,4,,,,,,,,,
Bonneville,1/9/2016,,,,,1,,,,,,,,,
Bonneville,1/10/2016,,,,1,-1,,,,,,,,,
Bonneville,1/11/2016,,,,4,1,,,,,,,,,
Bonneville,1/12/2016,,3,,,,,,,,,,,,
Bonneville,1/13/2016,,,,2,1,,,,,,,,,
Bonneville,1/14/2016,,,,5,2,,,,,,,,,
Bonneville,1/15/2016,,,1,2,2,,,,,,,,,
Bonneville,1/16/2016,,,,13,3,,,,,,,,,
Bonneville,1/17/2016,,,-1,11,3,,,,,,,,,
Bonneville,1/18/2016,,,,11,4,,,,,,,,,
Bonneville,1/19/2016,,,,12,2,,,,,,,,,
Bonneville,1/20/2016,,,,10,2,,,,,,,,,
Bonneville,1/21/2016,,,,13,8,,,,,,,,,
Bonneville,1/22/2016,,,,9,6,,,,,,,,,
Bonneville,1/23/2016,,,,22,7,,,,,,,,,
Bonneville,1/24/2016,,,,21,10,,,,,1,,,,
Bonneville,1/25/2016,,,,21,10,1,,,,,,,,
Bonneville,1/26/2016,,,,6,3,,,,,,,,,
Bonneville,1/27/2016,,,,3,,,,,,,,,,
Bonneville,1/28/2016,,,,8,6,,,,,,,,,
Bonneville,1/29/2016,,,,4,5,,,,,-2,,,,
Bonneville,1/30/2016,,,,11,6,,,,,,,,,
Bonneville,1/31/2016,,,,21,10,,,,,,,,,
Bonneville,2/1/2016,,,,14,6,,,,,,,,,
Bonneville,2/2/2016,,,,11,3,,,,,,,,,
Bonneville,2/3/2016,,,,10,1,,,,,,,,,
Bonneville,2/4/2016,,1,,4,2,,,,,,,,,
Bonneville,2/5/2016,,,,10,3,,,,,,,,,
Bonneville,2/6/2016,,,,13,4,,,,,,,,,
Bonneville,2/7/2016,,,,28,13,,,,,,,,,
Bonneville,2/8/2016,,,,9,5,,,,,,,,,
Bonneville,2/9/2016,,,,11,4,,,,,,,,,
Bonneville,2/10/2016,,1,,7,1,,,,,,,,,
Bonneville,2/11/2016,,,,5,3,,,,,,,,,
Bonneville,2/12/2016,,1,,15,7,,,,,,,,,
Bonneville,2/13/2016,,,,26,9,,,,,,,,,
Bonneville,2/14/2016,,,,28,12,,,,,,,,,
Bonneville,2/15/2016,,,,92,40,,,,,,,,,
Bonneville,2/16/2016,,1,,114,48,,,,,,,,,
Bonneville,2/17/2016,,,,51,17,,,,,,,,,
Bonneville,2/18/2016,,,,76,28,,,,,,,,,
Bonneville,2/19/2016,,,,62,32,,,,,,,,,
Bonneville,2/20/2016,,-1,,28,12,,,,,,,,,
Bonneville,2/21/2016,,,,38,14,,,,,,,,,
Bonneville,2/22/2016,,1,,37,21,,,,,,,,,
Bonneville,2/23/2016,,1,,33,13,,,,,,,,,
Bonneville,2/24/2016,,,,18,6,,,,,,,,,
Bonneville,2/25/2016,,,,21,4,,,,,,,,,
Bonneville,2/26/2016,,,,39,16,,,,,,,,,
Bonneville,2/27/2016,,,,27,12,,,,,,,,,
Bonneville,2/28/2016,,,,27,8,,,,,,,,,
Bonneville,2/29/2016,,,,38,14,,,,,,,,,
Bonneville,3/1/2016,,,,58,20,,,,,,,,,
Bonneville,3/2/2016,,2,,64,15,,,,,,,,,
Bonneville,3/3/2016,,1,,86,46,,,,,,,,,
Bonneville,3/4/2016,,4,,67,28,,,,,,,,,
Bonneville,3/5/2016,,3,,54,28,,,,,,,,,
Bonneville,3/6/2016,,1,,62,26,,,,,,,,,
Bonneville,3/7/2016,,5,,77,29,,,,,,,,,
Bonneville,3/8/2016,,2,,30,17,,,,,,,,,
Bonneville,3/9/2016,,2,,36,13,,,,,,,,,
Bonneville,3/10/2016,,2,,56,21,,,,,,,,,
Bonneville,3/11/2016,,2,,49,18,,,,,,,,,
Bonneville,3/12/2016,,2,,39,18,,,,,,,,,6.1
Bonneville,3/13/2016,,1,1,35,19,,,,,,,,,6.1
Bonneville,3/14/2016,,1,,91,51,,,,,,,,,
Bonneville,3/15/2016,Sp,1,,22,12,,,,,,,,,6.8
