Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2017,,,,5,3,,,,,,,,,3.9
Bonneville,1/2/2017,,,,4,1,,,,,,,,,4.4
Bonneville,1/3/2017,,,,3,2,,,,,,,,,4.4
Bonneville,1/4/2017,,,,7,2,,,,,,,,,3.9
Bonneville,1/5/2017,,,,3,3,,,,,,,,,3.9
Bonneville,1/6/2017,,,,,,,,,,,,,,3.9
Bonneville,1/7/2017,,,,1,,,,,,,,,,3.3
Bonneville,1/8/2017,,,,1,1,,,,,,,,,2.8
Bonneville,1/9/2017,,,,6,3,,,,,,,,,2.8
Bonneville,1/10/2017,,,,1,1,,,,,,,,,2.2
Bonneville,1/11/2017,,,,1,,,,,,,,,,2.2
Bonneville,1/12/2017,,,,,,,,,,,,,,2.2
Bonneville,1/13/2017,,,,-1,,,,,,,,,,
Bonneville,1/14/2017,,,,1,,,,,,,,,,1.7
Bonneville,1/15/2017,,,,,,,,,,,,,,1.1
Bonneville,1/16/2017,,,,,-1,,,,,,,,,0.6
Bonneville,1/17/2017,,,,2,2,,,,,,,,,0.6
Bonneville,1/18/2017,,,,,,,,,,,,,,0.6
Bonneville,1/19/2017,,,,1,,,,,,,,,,0.6
Bonneville,1/20/2017,,,,,,,,,,,,,,0.6
Bonneville,1/21/2017,,,,2,,,,,,,,,,0.6
Bonneville,1/22/2017,,,,-1,1,,,,,,,,,
Bonneville,1/23/2017,,,,-1,,,,,,,,,,0.6
Bonneville,1/24/2017,,,,-1,,,,,,,,,,0.6
Bonneville,1/25/2017,,,,2,,,,,,,,,,0.6
Bonneville,1/26/2017,,,,1,1,,,,,,,,,1.1
Bonneville,1/27/2017,,,,4,1,,,,,,,,,1.1
Bonneville,1/28/2017,,,,1,1,,,,,,,,,1.1
Bonneville,1/29/2017,,,,,,,,,,,,,,1.1
Bonneville,1/30/2017,,,,,,,,,,,,,,1.1
Bonneville,1/31/2017,,,,,,,,,,,,,,1.7
Bonneville,2/1/2017,,,,3,,,,,,,,,,1.7
Bonneville,2/2/2017,,,,-1,,,,,,,,,,1.7
Bonneville,2/3/2017,,,,,,,,,,,,,,1.1
Bonneville,2/4/2017,,,,,,,,,,,,,,1.1
Bonneville,2/5/2017,,,,4,1,,,,,,,,,1.1
Bonneville,2/6/2017,,,,5,,,,,,,,,,1.1
Bonneville,2/7/2017,,,,4,4,,,,,,,,,1.1
Bonneville,2/8/2017,,,,4,3,,,,,,,,,1.7
Bonneville,2/9/2017,,,,3,,,,,,,,,,
Bonneville,2/10/2017,,,,13,5,,,,,,,,,
Bonneville,2/11/2017,,1,,8,5,,,,,,,,,
Bonneville,2/12/2017,,,,13,6,,,,,,,,,2.2
Bonneville,2/13/2017,,,,15,9,,,,,,,,,2.2
Bonneville,2/14/2017,,,,9,4,,,,,,,,,2.2
Bonneville,2/15/2017,,,,5,1,,,,,,,,,2.2
Bonneville,2/16/2017,,,,9,3,,,,,,,,,1.7
Bonneville,2/17/2017,,,,21,6,,,,,,,,,1.7
Bonneville,2/18/2017,,,,6,4,,,,,,,,,1.7
Bonneville,2/19/2017,,,,6,2,,,,,,,,,2.2
Bonneville,2/20/2017,,,,10,4,,,,,,,,,1.7
Bonneville,2/21/2017,,,,23,10,,,,,,,,,2.2
Bonneville,2/22/2017,,,,22,6,,,,,,,,,2.2
Bonneville,2/23/2017,,,,17,4,,,,,,,,,2.2
Bonneville,2/24/2017,,,,15,8,,,,,,,,,2.8
Bonneville,2/25/2017,,,,11,5,,,,,,,,,3.3
Bonneville,2/26/2017,,,,27,17,,,,,,,,,2.8
Bonneville,2/27/2017,,,,15,6,,,,,,,,,2.8
Bonneville,2/28/2017,,,,30,10,,,,,,,,,2.8
Bonneville,3/1/2017,,,,22,7,,,,,,,,,3.8
Bonneville,3/2/2017,,,,20,6,,,,,,,,,3.8
Bonneville,3/3/2017,,,,29,13,,,,,,,,,4
Bonneville,3/4/2017,,,,39,17,,,,,,,,,4.1
Bonneville,3/5/2017,,,,27,11,,,,,,,,,4
