Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2015,,,,15,9,,,,,,,,,6.4
Bonneville,1/2/2015,,,,24,11,,,,,,,,,5.8
Bonneville,1/3/2015,,,,23,10,,,,,,,,,5.6
Bonneville,1/4/2015,,,,17,7,,,,,,,,,5.6
Bonneville,1/5/2015,,,,35,20,,,,,,,,,5.6
Bonneville,1/6/2015,,,,54,24,,,,,,,,,5.6
Bonneville,1/7/2015,,,,26,13,,,,,,,,,5.3
Bonneville,1/8/2015,,,,22,8,,,,,,,,,5
Bonneville,1/9/2015,,,,13,6,,,,,,,,,5
Bonneville,1/10/2015,,,,9,7,,,,,,,,,5
Bonneville,1/11/2015,,,,19,11,,,,,,,,,5
Bonneville,1/12/2015,,,,12,4,,,,,,,,,4.7
Bonneville,1/13/2015,,,,20,10,,,,,,,,,4.4
Bonneville,1/14/2015,,,,25,9,,,,,,,,,4.4
Bonneville,1/15/2015,,,,16,6,,,,,,,,,4.4
Bonneville,1/16/2015,,,,13,9,,,,,,,,,4.4
Bonneville,1/17/2015,,,,29,12,,,,,,,,,4.4
Bonneville,1/18/2015,,,,41,18,,,,,,,,,4.4
Bonneville,1/19/2015,,,,36,12,,,,,,,,,4.4
Bonneville,1/20/2015,,,,38,22,,,,,,,,,4.4
Bonneville,1/21/2015,,,,15,8,,,,,,,,,4.4
Bonneville,1/22/2015,,,,12,7,,,,,,,,,4.4
Bonneville,1/23/2015,,,,14,7,,,,,,,,,4.4
Bonneville,1/24/2015,,,,13,3,,,,,,,,,4.7
Bonneville,1/25/2015,,,,11,4,,,,,,,,,5
Bonneville,1/26/2015,,,,18,12,,,,,,,,,5
Bonneville,1/27/2015,,,,9,6,,,,,,,,,5
Bonneville,1/28/2015,,,,16,9,,,,,,,,,5
Bonneville,1/29/2015,,,,9,9,,,,,,,,,5
Bonneville,1/30/2015,,,,7,2,,,,,,,,,5
Bonneville,1/31/2015,,,,,1,,,,,,,,,5
Bonneville,2/1/2015,,,,4,2,,,,,,,,,4.4
Bonneville,2/2/2015,,,,6,3,,,,,,,,,4.2
Bonneville,2/3/2015,,,,8,5,1,,,,,,,,4.4
Bonneville,2/4/2015,,,,18,14,,,,,,,,,4.4
Bonneville,2/5/2015,,,,1,2,,,,,,,,,4.2
Bonneville,2/6/2015,,,,9,1,,,,,,,,,3.9
Bonneville,2/7/2015,,,,13,11,,,,,,,,,4.2
Bonneville,2/8/2015,,1,,41,28,,,,,,,,,4.4
Bonneville,2/9/2015,,,,34,19,,,,,,,,,4.4
Bonneville,2/10/2015,,,,27,9,,,,,,,,,4.7
Bonneville,2/11/2015,,,,28,18,,,,,,,,,5
Bonneville,2/12/2015,,,,19,8,,,,,,,,,5
Bonneville,2/13/2015,,,,30,15,,,,,,,,,5
Bonneville,2/14/2015,,,,24,9,,,,,,,,,5
Bonneville,2/15/2015,,,,29,15,,,,,,,,,5
Bonneville,2/16/2015,,,,15,4,,,,,,,,,5
Bonneville,2/17/2015,,,,15,7,,,,,,,,,5
Bonneville,2/18/2015,,,,13,8,,,,,,,,,5
Bonneville,2/19/2015,,,,7,6,,,,,,,,,5.3
Bonneville,2/20/2015,,,,45,21,,,,,,,,,5.6
Bonneville,2/21/2015,,,,42,21,,,,,,,,,5.6
Bonneville,2/22/2015,,,,33,23,,,,,,,,,5.6
Bonneville,2/23/2015,,,,18,10,,,,,,,,,5.6
Bonneville,2/24/2015,,,,26,18,,,,,,,,,5.6
Bonneville,2/25/2015,,,,63,34,,,,,,,,,5.6
Bonneville,2/26/2015,,1,,70,33,,,,,,,,,5.6
Bonneville,2/27/2015,,6,,106,55,,,,,,,,,5.6
Bonneville,2/28/2015,,1,,65,22,,,,,,,,,5.6
Bonneville,3/1/2015,,3,,68,30,,,,,,,,,5.6
Bonneville,3/2/2015,,10,,59,31,,,,,,,,,5.6
Bonneville,3/3/2015,,19,,32,19,,,,,,,,,5.6
Bonneville,3/4/2015,,10,,35,15,,,,,,,,,5.6
Bonneville,3/5/2015,,14,,23,13,,,,,,,,,5.6
Bonneville,3/6/2015,,9,,30,24,,,,,,,,,5.6
Bonneville,3/7/2015,,11,1,8,6,,,,,,,,,5.6
Bonneville,3/8/2015,,5,,21,14,,,,,,,,,5.6
Bonneville,3/9/2015,,13,1,56,26,,,,,,,,,5.6
Bonneville,3/10/2015,,35,,52,31,,,,,,,,,5.6
Bonneville,3/11/2015,,32,,27,14,,,,,,,,,6.1
Bonneville,3/12/2015,,33,,64,35,,,,,,,,,6.1
Bonneville,3/13/2015,,13,,56,36,,,,,,,,,6.7
Bonneville,3/14/2015,,14,,49,26,,,,,,,,,6.7
Bonneville,3/15/2015,Sp,17,,149,88,,,,,,,,,6.7
Bonneville,3/16/2015,Sp,38,,140,80,,,,,,,,,6.7
Bonneville,3/17/2015,Sp,8,,88,47,,,,,,,,,7.2
Bonneville,3/18/2015,Sp,36,,71,47,,,,,,,,,7.5
Bonneville,3/19/2015,Sp,37,1,67,38,,,,,,,,,7.6
Bonneville,3/20/2015,Sp,48,,51,22,,,,,,,,,7.7
Bonneville,3/21/2015,Sp,58,,98,58,,,,,,,,,7.9
Bonneville,3/22/2015,Sp,30,,54,33,,,,,,,,,8.1
Bonneville,3/23/2015,Sp,34,,58,29,,,,,,,,,8.2
Bonneville,3/24/2015,Sp,56,,72,39,,,,,,,,,8.3
Bonneville,3/25/2015,Sp,50,,55,31,,,,,,,,,8.4
Bonneville,3/26/2015,Sp,73,,70,38,,,,,,,,,8.6
Bonneville,3/27/2015,Sp,100,,50,25,,,,,,,,,8.8
Bonneville,3/28/2015,Sp,185,,63,37,,,,,,,,,9
Bonneville,3/29/2015,Sp,259,1,40,26,,,,,,,,,9
Bonneville,3/30/2015,Sp,155,,48,35,,,,,,,,,9.1
Bonneville,3/31/2015,Sp,270,,26,18,,,,,,,,,9.1
Bonneville,4/1/2015,Sp,270,,58,29,,,,,,,,,9.1
Bonneville,4/2/2015,Sp,291,,45,29,,,,,,,,,9.1
Bonneville,4/3/2015,Sp,265,,26,19,,,,,,,,,8.9
Bonneville,4/4/2015,Sp,178,1,28,13,,,,,,,,,9.1
Bonneville,4/5/2015,Sp,165,,15,14,,,,,,,,,9.2
Bonneville,4/6/2015,Sp,112,1,22,9,,,,,,,,,9.3
Bonneville,4/7/2015,Sp,387,1,25,15,,,,,,,,,9.5
Bonneville,4/8/2015,Sp,523,4,25,21,,,,,,,,,9.6
Bonneville,4/9/2015,Sp,836,,59,35,,,,,,,,,9.8
Bonneville,4/10/2015,Sp,1238,,28,20,,,,,,,,,9.9
Bonneville,4/11/2015,Sp,1269,2,26,12,,,,,,,,,9.8
Bonneville,4/12/2015,Sp,2028,6,26,15,,,,,,,,,9.8
Bonneville,4/13/2015,Sp,796,3,19,15,,,,,,,,,9.8
Bonneville,4/14/2015,Sp,587,1,16,15,,,,,,,,,9.7
Bonneville,4/15/2015,Sp,2972,16,47,27,,,,,,,,,9.7
Bonneville,4/16/2015,Sp,2952,12,30,16,,,,,,,,,9.8
Bonneville,4/17/2015,Sp,5417,23,38,21,,,,,,,,,10
Bonneville,4/18/2015,Sp,7926,61,37,15,,,,,,,,,10.3
Bonneville,4/19/2015,Sp,11327,68,44,29,,,,,,,,,10.6
Bonneville,4/20/2015,Sp,13190,113,33,15,,,,,,,,,10.9
Bonneville,4/21/2015,Sp,5987,52,27,8,,,,,,,,,10.9
Bonneville,4/22/2015,Sp,7976,58,23,5,,,,,,,,,11
Bonneville,4/23/2015,Sp,4565,39,18,11,,,,,,,,,10.8
Bonneville,4/24/2015,Sp,4462,44,26,14,,,,,,,,,10.7
Bonneville,4/25/2015,Sp,4581,47,19,11,,,,,,,,,10.7
Bonneville,4/26/2015,Sp,5401,79,19,5,,,,,,,,,10.9
Bonneville,4/27/2015,Sp,9733,143,42,17,,,,,,,,,11.3
Bonneville,4/28/2015,Sp,17045,307,44,19,,,,,,,,,11.7
Bonneville,4/29/2015,Sp,11303,301,35,19,,,,,,,,,12
Bonneville,4/30/2015,Sp,13676,504,39,22,,,,,,,,,12.2
Bonneville,5/1/2015,Sp,6140,293,32,15,,,,,1,,,,12.6
Bonneville,5/2/2015,Sp,2940,146,46,19,,,,,,,,,12.5
Bonneville,5/3/2015,Sp,2613,164,38,16,,,,,,,,,12.8
Bonneville,5/4/2015,Sp,3198,170,32,5,,,,,,,,,13
Bonneville,5/5/2015,Sp,3199,224,15,5,,,,,,,,,13.1
Bonneville,5/6/2015,Sp,3013,262,25,7,,,,,,,,,13.2
Bonneville,5/7/2015,Sp,2694,370,21,8,,,,1,,,,,13.2
Bonneville,5/8/2015,Sp,3065,382,21,5,,,,14,,,,,13.3
Bonneville,5/9/2015,Sp,3468,536,14,4,,,,23,1,,,,13.6
Bonneville,5/10/2015,Sp,3792,555,13,3,,,,14,4,,,,14
Bonneville,5/11/2015,Sp,2743,449,19,8,,,,8,9,,,,14
Bonneville,5/12/2015,Sp,2196,343,19,,,,,1,2,,,,13.9
Bonneville,5/13/2015,Sp,1597,302,34,9,,,,51,6,,,,14
Bonneville,5/14/2015,Sp,2181,576,32,4,,,,136,4,,,,14
Bonneville,5/15/2015,Sp,1392,333,15,5,,,,1173,2,,,,14.1
Bonneville,5/16/2015,Sp,1865,347,18,3,,,,1099,1,,,,14.2
Bonneville,5/17/2015,Sp,2122,476,28,4,,,,791,,,,,14.5
Bonneville,5/18/2015,Sp,2168,639,48,11,,,,914,2,,,,14.9
Bonneville,5/19/2015,Sp,2316,522,52,17,,,,922,10,,,,15.1
Bonneville,5/20/2015,Sp,2209,376,38,14,,,,2827,1,,,,15.2
Bonneville,5/21/2015,Sp,2527,364,57,24,1,,,2620,16,,,,15.4
Bonneville,5/22/2015,Sp,1615,242,31,-4,,,,5853,15,,,,15.4
Bonneville,5/23/2015,Sp,1450,244,44,16,,,,4867,16,,,,15.2
Bonneville,5/24/2015,Sp,1575,270,44,8,1,,,3063,8,,,,15.1
Bonneville,5/25/2015,Sp,2148,403,35,12,6,,,1723,35,,,,15.3
Bonneville,5/26/2015,Sp,3077,416,42,21,5,,,2774,47,,,,15.6
Bonneville,5/27/2015,Sp,3079,570,45,16,19,,,7252,26,,,,16.1
Bonneville,5/28/2015,Sp,2295,373,38,15,11,,,21758,65,,,,16.6
Bonneville,5/29/2015,Sp,2584,390,52,14,50,,,42325,219,,,,16.9
Bonneville,5/30/2015,Sp,3131,406,58,21,89,,,43002,180,,,,17
Bonneville,5/31/2015,Sp,2946,281,72,12,132,,,49598,266,,,,17.3
Bonneville,6/1/2015,Su,2528,267,65,21,128,,,53208,126,,,,17.3
Bonneville,6/2/2015,Su,2607,230,56,18,152,,,34780,132,,,,17.2
Bonneville,6/3/2015,Su,2867,267,66,23,239,,,18845,206,,,,17.4
Bonneville,6/4/2015,Su,2590,261,61,20,429,,,31561,139,,,,17.6
Bonneville,6/5/2015,Su,1864,237,56,21,686,,,63891,259,,,,18
Bonneville,6/6/2015,Su,2708,262,68,23,861,,,63690,165,,,,18.3
Bonneville,6/7/2015,Su,3310,270,90,31,1096,,,54284,216,,,,18.6
Bonneville,6/8/2015,Su,3120,263,101,36,1156,,,46556,401,,,1,18.9
Bonneville,6/9/2015,Su,3238,308,112,41,1812,,,82464,376,,,,19.1
Bonneville,6/10/2015,Su,4121,412,106,35,2815,,,45926,458,,,,18.9
Bonneville,6/11/2015,Su,3810,458,108,49,4792,,,24077,267,,,,18.5
Bonneville,6/12/2015,Su,3106,388,128,39,4296,,,23222,228,,,,18.4
Bonneville,6/13/2015,Su,2980,394,135,41,5951,,,34792,246,,,,18.4
Bonneville,6/14/2015,Su,3364,441,121,46,6737,,,62398,185,,,,18.9
Bonneville,6/15/2015,Su,2865,366,140,57,7532,,,67309,455,,,,19.2
Bonneville,6/16/2015,Su,3937,387,181,67,10134,,,83111,698,,,,19.5
Bonneville,6/17/2015,Su,3945,384,179,74,13867,,,51509,557,,,,19.4
Bonneville,6/18/2015,Su,2980,439,263,107,13504,,,64847,630,,,,19.6
Bonneville,6/19/2015,Su,2878,394,263,120,13692,,,61336,721,,,,19.7
Bonneville,6/20/2015,Su,2605,387,214,108,18917,,,53904,565,,,,19.7
Bonneville,6/21/2015,Su,3603,552,221,116,29764,,,82440,339,,,,19.8
Bonneville,6/22/2015,Su,4174,623,257,132,31880,,,51673,598,,,,19.9
Bonneville,6/23/2015,Su,4446,597,320,144,27720,,,38677,373,,,,19.9
Bonneville,6/24/2015,Su,4649,487,312,105,25749,,,54290,345,,,,20.1
Bonneville,6/25/2015,Su,4330,368,263,125,20120,,,34971,311,,,,20.4
Bonneville,6/26/2015,Su,3528,460,322,160,22847,,,34714,317,,,,20.7
Bonneville,6/27/2015,Su,3806,418,409,229,23891,,,30520,455,,,,21.1
Bonneville,6/28/2015,Su,4863,544,465,265,25160,,,47080,298,,,,21.3
Bonneville,6/29/2015,Su,3453,433,563,302,23574,,,25576,753,,,,21.4
Bonneville,6/30/2015,Su,3021,427,469,277,17547,,,29273,659,,,,21.6
Bonneville,7/1/2015,Su,2267,337,467,271,18423,,,28700,464,,,,21.9
Bonneville,7/2/2015,Su,3510,343,426,240,14949,,,21957,305,,,,22
Bonneville,7/3/2015,Su,3199,257,530,317,11900,,,20974,347,,,,22.2
Bonneville,7/4/2015,Su,2939,300,560,314,11600,,,14872,519,,,,22.3
Bonneville,7/5/2015,Su,2581,226,589,326,11064,,,16494,418,,,,22.6
Bonneville,7/6/2015,Su,1652,140,532,315,8791,,,12436,409,,,1,22.8
Bonneville,7/7/2015,Su,1798,168,660,422,9740,,,10971,442,,,,22.6
Bonneville,7/8/2015,Su,1930,246,787,456,8301,,,12756,201,,,,22.6
Bonneville,7/9/2015,Su,2143,225,843,500,8543,,,9030,456,,,,22.8
Bonneville,7/10/2015,Su,2382,262,940,605,6585,,,6061,566,,,,22.7
Bonneville,7/11/2015,Su,1428,189,858,541,5519,,,3611,407,,,,22.4
Bonneville,7/12/2015,Su,902,120,636,377,4272,,,1508,325,,,,22.3
Bonneville,7/13/2015,Su,2418,173,699,436,5060,,,1262,613,,,,22.5
Bonneville,7/14/2015,Su,3994,227,931,606,4015,,,1310,770,,,,22.6
Bonneville,7/15/2015,Su,4587,364,1775,1167,2898,,,892,510,,,,22.5
Bonneville,7/16/2015,Su,2482,223,2188,1325,2760,,,949,820,,,,22.5
Bonneville,7/17/2015,Su,1741,200,2004,1205,2363,,,840,509,,,,22.4
Bonneville,7/18/2015,Su,1183,136,1624,940,2128,,,820,660,,,,22.6
Bonneville,7/19/2015,Su,1393,136,1420,808,1813,,,187,514,,,,22.8
Bonneville,7/20/2015,Su,1306,103,1891,1079,1756,,,462,1051,,,,22.9
Bonneville,7/21/2015,Su,1071,182,2401,1363,1777,,,457,985,,,,22.6
Bonneville,7/22/2015,Su,1103,132,1903,1087,1541,,,610,659,,,,22.1
Bonneville,7/23/2015,Su,907,128,1736,1029,1191,,,371,594,,,,21.9
Bonneville,7/24/2015,Su,995,99,1803,1006,892,,,360,575,,,,21.7
Bonneville,7/25/2015,Su,1517,132,2650,1612,957,,,230,363,,,,21.7
Bonneville,7/26/2015,Su,1784,170,4486,2610,779,,,217,323,,,,21.4
Bonneville,7/27/2015,Su,791,108,4282,2112,522,,,172,402,,,,21.3
Bonneville,7/28/2015,Su,1270,125,3848,1881,486,,,222,306,,,,21.6
Bonneville,7/29/2015,Su,2083,205,4004,1992,401,,,134,417,,,,21.9
Bonneville,7/30/2015,Su,1804,200,5509,2665,345,,,189,456,,,,22.1
Bonneville,7/31/2015,Su,1279,150,7708,3418,218,1,,175,428,,,,22.3
Bonneville,8/1/2015,Fa,947,126,7319,2867,181,1,,127,1047,,,1,22.4
Bonneville,8/2/2015,Fa,716,102,6790,2505,111,5,1,262,876,,,1,22.2
Bonneville,8/3/2015,Fa,511,48,4432,1502,119,-4,1,261,120,,,,21.9
Bonneville,8/4/2015,Fa,460,40,2871,992,159,,5,91,616,,,1,21.6
Bonneville,8/5/2015,Fa,707,60,2540,1011,184,1,,79,503,,,,21.3
Bonneville,8/6/2015,Fa,1496,97,2879,1200,122,,,51,433,,,,21.2
Bonneville,8/7/2015,Fa,1443,127,3976,1610,116,11,4,179,332,,,,21.2
Bonneville,8/8/2015,Fa,1284,114,4746,1643,99,12,2,117,513,,,,21.6
Bonneville,8/9/2015,Fa,1454,100,5487,1830,85,3,,61,1043,,,1,21.8
Bonneville,8/10/2015,Fa,1735,108,5841,1878,76,6,1,84,190,,,,22.2
Bonneville,8/11/2015,Fa,1052,121,6834,2099,41,1,,79,483,,,,22.2
Bonneville,8/12/2015,Fa,1603,122,5978,1791,54,6,1,70,432,,,,22.2
Bonneville,8/13/2015,Fa,1912,135,5795,1872,18,4,9,43,401,,,,22.2
Bonneville,8/14/2015,Fa,1380,120,4773,1376,22,16,7,68,252,,,,21.9
Bonneville,8/15/2015,Fa,1264,122,4313,1172,14,17,7,57,292,,,,21.8
Bonneville,8/16/2015,Fa,1431,116,3645,1078,16,29,3,77,186,,,,21.8
Bonneville,8/17/2015,Fa,1349,123,2340,625,17,16,8,8,155,,,,21.8
Bonneville,8/18/2015,Fa,3721,332,2315,586,21,67,20,22,171,,,,21.9
Bonneville,8/19/2015,Fa,6076,480,2664,803,46,108,18,44,128,,,1,22.2
Bonneville,8/20/2015,Fa,4711,455,3753,1105,24,119,20,29,136,,,1,22.2
Bonneville,8/21/2015,Fa,2695,275,3363,810,14,85,24,30,246,,,,21.7
Bonneville,8/22/2015,Fa,1342,161,2002,470,12,66,9,21,32,,,,21.4
Bonneville,8/23/2015,Fa,1647,186,1446,355,11,47,11,26,89,,,,21.1
Bonneville,8/24/2015,Fa,4475,395,1591,454,13,96,25,19,116,,,,21
Bonneville,8/25/2015,Fa,7123,515,1484,491,25,147,29,9,85,,,1,21
Bonneville,8/26/2015,Fa,7167,436,1541,493,21,123,26,19,132,,,,21.1
Bonneville,8/27/2015,Fa,6480,521,1788,527,12,113,27,41,105,,,1,21.3
Bonneville,8/28/2015,Fa,14268,904,1919,557,9,220,56,18,30,,,1,21.4
Bonneville,8/29/2015,Fa,22449,1317,2759,870,9,292,60,11,52,,,,21.4
Bonneville,8/30/2015,Fa,20345,938,3030,864,24,307,41,17,70,,,2,21.2
Bonneville,8/31/2015,Fa,20107,1132,3692,1071,10,620,80,19,14,,,,21
Bonneville,9/1/2015,Fa,19495,1404,4762,1170,14,773,97,,78,,,,20.9
Bonneville,9/2/2015,Fa,22799,1837,3806,917,7,960,96,,80,,,,20.7
Bonneville,9/3/2015,Fa,26974,1971,3360,788,7,1875,197,,76,,,1,20.6
Bonneville,9/4/2015,Fa,20196,1284,2939,665,4,1309,154,,66,,,,20.3
Bonneville,9/5/2015,Fa,22880,1572,2369,577,2,1177,172,,63,,,,20.1
Bonneville,9/6/2015,Fa,21594,1834,2560,719,,1292,134,,114,,,,19.6
Bonneville,9/7/2015,Fa,35276,2272,2769,598,2,1416,167,,39,,,,19.4
Bonneville,9/8/2015,Fa,33022,2504,2673,628,8,1532,190,,22,,,2,19.5
Bonneville,9/9/2015,Fa,38575,2421,2588,681,4,1556,178,,16,,,3,19.8
Bonneville,9/10/2015,Fa,44534,2963,2811,709,2,1235,99,,38,,1,3,19.9
Bonneville,9/11/2015,Fa,43016,3981,3126,838,1,1108,103,,52,,,2,19.9
Bonneville,9/12/2015,Fa,31330,3045,2597,721,2,700,99,,53,,,2,20.1
Bonneville,9/13/2015,Fa,31254,2821,2400,646,3,619,106,,67,,,3,20.3
Bonneville,9/14/2015,Fa,28088,2723,2233,657,1,608,85,,11,,,1,19.9
Bonneville,9/15/2015,Fa,24959,1685,1896,530,,451,66,,35,,,5,19.2
Bonneville,9/16/2015,Fa,23316,1674,1846,567,1,453,75,,-7,,,2,18.9
Bonneville,9/17/2015,Fa,23956,1875,2074,569,,414,61,,15,,1,2,
Bonneville,9/18/2015,Fa,23564,2138,1923,512,2,441,117,,7,,,4,
Bonneville,9/19/2015,Fa,19856,1741,1492,439,1,496,64,,13,,,,
Bonneville,9/20/2015,Fa,25499,2228,2161,583,,781,101,,4,,,,
Bonneville,9/21/2015,Fa,27106,2547,1759,458,4,724,97,,25,,,,
Bonneville,9/22/2015,Fa,24816,3232,1890,533,1,780,120,,4,,,2,
Bonneville,9/23/2015,Fa,14386,2025,1511,443,-1,529,84,,19,,,1,
Bonneville,9/24/2015,Fa,15682,1847,1579,468,2,627,96,,-4,,,1,
Bonneville,9/25/2015,Fa,12518,1567,1339,413,,479,73,,11,,,,
Bonneville,9/26/2015,Fa,12905,1314,961,255,,492,51,,12,,,2,
Bonneville,9/27/2015,Fa,11249,1080,875,261,,492,59,,12,,,,
Bonneville,9/28/2015,Fa,13457,1322,882,210,,404,55,,,,,1,
Bonneville,9/29/2015,Fa,8667,1221,751,186,,364,46,,1,,,1,
Bonneville,9/30/2015,Fa,8409,1141,803,207,,295,57,,5,,,1,
Bonneville,10/1/2015,Fa,8772,1123,811,199,,317,54,,6,,,1,
Bonneville,10/2/2015,Fa,3886,621,689,203,1,183,42,,-7,,,,
Bonneville,10/3/2015,Fa,9420,1083,911,233,2,297,69,,4,,,,
Bonneville,10/4/2015,Fa,6267,718,843,238,,186,34,,-2,,,,
Bonneville,10/5/2015,Fa,6083,662,814,205,,170,40,,1,,,,
Bonneville,10/6/2015,Fa,6983,851,884,245,,250,40,,3,,,,
Bonneville,10/7/2015,Fa,3588,408,704,190,,137,30,,6,,,,
Bonneville,10/8/2015,Fa,6030,577,841,259,,176,25,,4,,,2,
Bonneville,10/9/2015,Fa,6929,710,880,252,,235,32,,3,,,,
Bonneville,10/10/2015,Fa,3706,522,565,157,,179,28,,20,,1,,
Bonneville,10/11/2015,Fa,5035,534,693,211,,321,65,,8,,,,
Bonneville,10/12/2015,Fa,2281,226,548,167,,167,37,,10,,,,
Bonneville,10/13/2015,Fa,3507,370,685,234,,193,42,,10,,,,
Bonneville,10/14/2015,Fa,4042,416,731,276,,277,37,,1,,,,
Bonneville,10/15/2015,Fa,2257,301,345,109,,268,53,,3,,1,,
Bonneville,10/16/2015,Fa,1547,156,308,94,,263,33,,5,,,,
Bonneville,10/17/2015,Fa,662,88,272,70,,180,38,,8,,,,
Bonneville,10/18/2015,Fa,1889,150,325,119,,374,73,,-4,,,,
Bonneville,10/19/2015,Fa,693,69,296,132,,136,23,,5,,,,
Bonneville,10/20/2015,Fa,2459,240,348,123,,323,58,,-1,,,,
Bonneville,10/21/2015,Fa,913,100,168,66,,155,14,,-11,,,-1,
Bonneville,10/22/2015,Fa,1323,145,209,80,,308,44,,6,,,,
Bonneville,10/23/2015,Fa,2118,208,188,48,,335,42,,-1,,1,,
Bonneville,10/24/2015,Fa,1460,131,122,42,,151,26,,3,,2,,
Bonneville,10/25/2015,Fa,1549,144,127,50,,156,20,,1,,2,,
Bonneville,10/26/2015,Fa,767,88,102,33,,241,32,,2,,,,
Bonneville,10/27/2015,Fa,1342,140,87,20,,384,40,,,,,1,
Bonneville,10/28/2015,Fa,461,65,72,33,,140,6,,4,,6,,
Bonneville,10/29/2015,Fa,518,56,128,80,,144,11,,1,,2,,
Bonneville,10/30/2015,Fa,415,39,91,42,,109,14,,-1,,4,,
Bonneville,10/31/2015,Fa,620,69,112,48,,237,28,,24,,9,,
Bonneville,11/1/2015,Fa,506,45,149,54,,427,29,,32,,12,,
Bonneville,11/2/2015,Fa,258,23,144,41,,226,11,,21,,2,,
Bonneville,11/3/2015,Fa,334,32,224,108,,173,12,,16,,7,,
Bonneville,11/4/2015,Fa,223,25,185,86,,147,10,,9,,4,,
Bonneville,11/5/2015,Fa,302,23,238,118,,157,7,,6,,2,,
Bonneville,11/6/2015,Fa,647,36,258,109,,167,9,,2,,5,,
Bonneville,11/7/2015,Fa,193,10,189,69,,118,4,,5,,6,,
Bonneville,11/8/2015,Fa,185,25,162,89,,92,3,,2,,4,,
Bonneville,11/9/2015,Fa,317,28,140,54,,151,6,,,,8,,
Bonneville,11/10/2015,Fa,152,18,113,39,,94,2,,-1,,2,,
Bonneville,11/11/2015,Fa,174,24,84,36,,191,5,,-1,,14,,
Bonneville,11/12/2015,Fa,165,15,70,29,,128,3,,,,13,,
Bonneville,11/13/2015,Fa,126,20,59,22,,202,9,,,,8,,
Bonneville,11/14/2015,Fa,229,8,73,38,,184,7,,,,18,,
Bonneville,11/15/2015,Fa,79,6,47,19,-1,89,1,,-1,,9,,
Bonneville,11/16/2015,,68,12,59,17,,155,2,,,,2,,
Bonneville,11/17/2015,,92,5,45,25,,82,1,,60,,14,,
Bonneville,11/18/2015,,76,14,55,20,,153,3,,6,,7,,
Bonneville,11/19/2015,,48,-1,27,13,,56,1,,7,,3,,
Bonneville,11/20/2015,,46,1,54,26,,65,7,,-1,,2,,
