Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2011,,,,4,3,,,,,,,,,4.4
Bonneville,1/2/2011,,,,3,1,,,,,,,,,4.4
Bonneville,1/3/2011,,,,2,1,,,,,,,,,3.9
Bonneville,1/4/2011,,,,5,3,,,,,,,,,3.9
Bonneville,1/5/2011,,,,10,4,,,,,,,,,3.9
Bonneville,1/6/2011,,,,7,3,,,,,,,,,4.4
Bonneville,1/7/2011,,,1,13,8,,,,,,,,,4.4
Bonneville,1/8/2011,,,,11,3,,,,,,,,,4.4
Bonneville,1/9/2011,,,-1,7,1,,,,,,,,,4.4
Bonneville,1/10/2011,,,,8,1,,,,,,,,,3.9
Bonneville,1/11/2011,,,,7,2,,,,,,,,,3.3
Bonneville,1/12/2011,,,,1,1,,,,,,,,,3.3
Bonneville,1/13/2011,,,,14,10,,,,,,,,,2.8
Bonneville,1/14/2011,,,,52,22,,,,,,,,,3.3
Bonneville,1/15/2011,,,,22,10,,,,,,,,,3.3
Bonneville,1/16/2011,,,,69,44,,,,,,,,,3.9
Bonneville,1/17/2011,,,,8,-1,,,,,,,,,3.9
Bonneville,1/18/2011,,,,21,10,,,,,1,,,,4.4
Bonneville,1/19/2011,,,,23,9,,,,,,,,,3.9
Bonneville,1/20/2011,,,,49,26,,,,,,,,,3.9
Bonneville,1/21/2011,,,,33,9,,,,,,,,,3.3
Bonneville,1/22/2011,,,,34,11,,,,,,,,,3.9
Bonneville,1/23/2011,,,,71,38,,,,,,,,,3.9
Bonneville,1/24/2011,,,,84,30,,,,,,,,,3.9
Bonneville,1/25/2011,,,,87,38,,,,,,,,,4.4
Bonneville,1/26/2011,,1,,29,10,,,,,,,,,4.4
Bonneville,1/27/2011,,,-1,37,12,,,,,,,,,4.4
Bonneville,1/28/2011,,,,20,5,,,,,,,,,3.9
Bonneville,1/29/2011,,,,33,19,,,,,,,,,4.4
Bonneville,1/30/2011,,,,17,7,,,,,,,,,
Bonneville,1/31/2011,,,,24,7,,,,,,,,,4.4
Bonneville,2/1/2011,,,,12,5,,,,,,,,,3.9
Bonneville,2/2/2011,,1,,8,2,,,,,,,,,3.9
Bonneville,2/3/2011,,,1,13,5,,,,,,,,,3.9
Bonneville,2/4/2011,,,-1,6,2,,,,,,,,,3.9
Bonneville,2/5/2011,,1,,12,6,,,,,,,,,3.9
Bonneville,2/6/2011,,1,,16,5,,,,,,,,,4.4
Bonneville,2/7/2011,,,,18,2,,,,,,,,,4.4
Bonneville,2/8/2011,,1,,16,6,,,,,,,,,4.4
Bonneville,2/9/2011,,,,5,4,,,,,,,,,4.4
Bonneville,2/10/2011,,,,6,3,,,,,,,,,3.9
Bonneville,2/11/2011,,,,4,2,,,,,,,,,3.3
Bonneville,2/12/2011,,,,11,1,,,,,,,,,3.3
Bonneville,2/13/2011,,,,8,4,,,,,,,,,3.3
Bonneville,2/14/2011,,,,9,1,,,,,,,,,3.9
Bonneville,2/15/2011,,,,24,10,,,,,,,,,3.9
Bonneville,2/16/2011,,1,,7,2,,,,,,,,,3.3
Bonneville,2/17/2011,,,,10,5,,,,,,,,,3.3
Bonneville,2/18/2011,,3,,9,4,,,,,,,,,3.3
Bonneville,2/19/2011,,,,3,1,,,,,,,,,3.3
Bonneville,2/20/2011,,,,6,2,,,,,,,,,3.3
Bonneville,2/21/2011,,,,3,3,,,,,,,,,
Bonneville,2/22/2011,,1,,5,1,,,,,,,,,3.3
Bonneville,2/23/2011,,,,8,2,,,,,,,,,3.9
Bonneville,2/24/2011,,2,,12,6,,,,,,,,,3.3
Bonneville,2/25/2011,,,,7,4,,,,,,,,,3.3
Bonneville,2/26/2011,,1,,8,5,,,,,,,,,3.3
Bonneville,2/27/2011,,,,10,7,,,,,,,,,3.3
Bonneville,2/28/2011,,1,,8,3,,,,,,,,,3.3
Bonneville,3/1/2011,,,,7,4,,,,,,,,,3.3
Bonneville,3/2/2011,,2,,14,6,,,,,,,,,3.3
Bonneville,3/3/2011,,1,,6,4,,,,,,,,,3.3
Bonneville,3/4/2011,,,,9,8,,,,,,,,,3.3
Bonneville,3/5/2011,,2,,18,5,,,,,,,,,2.8
Bonneville,3/6/2011,,3,,15,10,,,,,,,,,2.8
Bonneville,3/7/2011,,7,,11,6,,,,,,,,,2.8
Bonneville,3/8/2011,,1,,7,,,,,,,,,,2.8
