Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2012,,,,27,12,,,,,,,,,5.6
Bonneville,1/2/2012,,,,13,5,,,,,,,,,5.6
Bonneville,1/3/2012,,,,13,10,,,,,,,,,5.6
Bonneville,1/4/2012,,,,18,12,,,,,,,,,5
Bonneville,1/5/2012,,,,9,5,,,,,,,,,5.6
Bonneville,1/6/2012,,,,5,1,,,,,,,,,5.6
Bonneville,1/7/2012,,,,15,5,,,,,,,,,5.6
Bonneville,1/8/2012,,,,15,7,,,,,,,,,5
Bonneville,1/9/2012,,,,16,4,,,,,,,,,5
Bonneville,1/10/2012,,,,7,,,,,,,,,,5.6
Bonneville,1/11/2012,,,,2,1,,,,,,,,,5
Bonneville,1/12/2012,,,,6,2,,,,,,,,,5
Bonneville,1/13/2012,,,,6,2,,,,,,,,,4.4
Bonneville,1/14/2012,,,,3,3,,,,,,,,,4.4
Bonneville,1/15/2012,,,,4,,,,,,,,,,4.4
Bonneville,1/16/2012,,,,4,1,,,,,,,,,3.3
Bonneville,1/17/2012,,,,6,3,,,,,,,,,3.3
Bonneville,1/18/2012,,,,5,2,,,,,,,,,3.9
Bonneville,1/19/2012,,,,7,,,,,,,,,,3.3
Bonneville,1/20/2012,,,,5,2,,,,,,,,,3.9
Bonneville,1/21/2012,,,,9,5,,,,,,,,,3.9
Bonneville,1/22/2012,,,,4,,,,,,,,,,3.3
Bonneville,1/23/2012,,,,14,4,,,,,,,,,3.3
Bonneville,1/24/2012,,,,4,3,,,,,,,,,3.3
Bonneville,1/25/2012,,1,1,4,,,,,,,,,,3.9
Bonneville,1/26/2012,,,,4,2,,,,,,,,,3.9
Bonneville,1/27/2012,,,,2,1,,,,,,,,,3.3
Bonneville,1/28/2012,,,,14,4,,,,,,,,,3.3
Bonneville,1/29/2012,,,,11,4,,,,,,,,,3.3
Bonneville,1/30/2012,,,,24,8,,,,,,,,,3.3
Bonneville,1/31/2012,,,,4,,,,,,,,,,3.3
Bonneville,2/1/2012,,,,8,2,,,,,,,,,3.3
Bonneville,2/2/2012,,,,16,5,,,,,,,,,3.3
Bonneville,2/3/2012,,,,8,4,,,,,,,,,3.3
Bonneville,2/4/2012,,,,5,,,,,,,,,,3.3
Bonneville,2/5/2012,,,,11,2,,,,,,,,,3.3
Bonneville,2/6/2012,,,,1,,,,,,,,,,3.3
Bonneville,2/7/2012,,,,4,2,,,,,,,,,3.3
Bonneville,2/8/2012,,,,1,1,,,,,,,,,2.8
Bonneville,2/9/2012,,,,8,1,,,,,,,,,3.3
Bonneville,2/10/2012,,,,17,2,,,,,,,,,3.3
Bonneville,2/11/2012,,,,17,3,,,,,,,,,3.9
Bonneville,2/12/2012,,,,28,10,,,,,,,,,3.3
Bonneville,2/13/2012,,,,9,3,,,,,,,,,3.9
Bonneville,2/14/2012,,,,4,1,,,,,,,,,3.9
Bonneville,2/15/2012,,,,9,4,,,,,,,,,3.9
Bonneville,2/16/2012,,,,8,2,,,,,,,,,3.9
Bonneville,2/17/2012,,,,9,2,,,,,,,,,3.9
Bonneville,2/18/2012,,,,9,3,,,,,,,,,3.9
Bonneville,2/19/2012,,,,10,4,,,,,,,,,3.3
Bonneville,2/20/2012,,,,5,-1,,,,,,,,,3.3
Bonneville,2/21/2012,,,,18,4,,,,,,,,,3.9
Bonneville,2/22/2012,,,-1,110,32,,,,,,,,,4.4
Bonneville,2/23/2012,,,,108,38,,,,,,,,,4.4
Bonneville,2/24/2012,,,,131,46,,,,,,,,,4.4
Bonneville,2/25/2012,,,,37,12,,,,,,,,,4.4
Bonneville,2/26/2012,,,,15,4,,,,,,,,,4.4
Bonneville,2/27/2012,,,,25,14,,,,,,,,,14.2
Bonneville,2/28/2012,,,,26,8,,,,,,,,,4.4
Bonneville,2/29/2012,,,,12,6,,,,,,,,,4.4
Bonneville,3/1/2012,,,,13,5,,,,,,,,,4.4
Bonneville,3/2/2012,,,,24,8,,,,,,,,,4.4
Bonneville,3/3/2012,,,,32,12,,,,,,,,,4.4
Bonneville,3/4/2012,,2,,47,17,,,,,,,,,4.4
Bonneville,3/5/2012,,,1,60,20,,,,,,,,,5
Bonneville,3/6/2012,,1,,37,15,,,,,,,,,5.6
Bonneville,3/7/2012,,3,,57,20,,,,,,,,,5.6
Bonneville,3/8/2012,,,,49,17,,,,,,,,,5.6
Bonneville,3/9/2012,,,,41,16,,,,,,,,,5.6
Bonneville,3/10/2012,,,,42,5,,,,,,,,,5
Bonneville,3/11/2012,,4,,52,19,,,,,,,,,5.6
Bonneville,3/12/2012,,1,,50,13,,,,,,,,,5.6
Bonneville,3/13/2012,,,,55,20,,,,,,,,,5.6
Bonneville,3/14/2012,,2,,61,16,,,,,,,,,5.1
Bonneville,3/15/2012,Sp,3,,65,25,,,,,,,,,5.1
Bonneville,3/16/2012,Sp,3,,178,53,,,,,,,,,5.5
Bonneville,3/17/2012,Sp,2,1,145,45,,,,,,,,,5.9
Bonneville,3/18/2012,Sp,2,,74,23,,,,,,,,,6
Bonneville,3/19/2012,Sp,3,,52,23,,,,,,,,,5.9
Bonneville,3/20/2012,Sp,1,,21,10,,,,,,,,,5.7
Bonneville,3/21/2012,Sp,1,,21,8,,,,,,,,,5.7
Bonneville,3/22/2012,Sp,,-1,72,28,,,,,,,,,5.7
Bonneville,3/23/2012,Sp,1,,67,18,,,,,,,,,5.9
Bonneville,3/24/2012,Sp,,,74,27,,,,,,,,,6.1
Bonneville,3/25/2012,Sp,,,82,20,,,,,,,,,6.3
Bonneville,3/26/2012,Sp,2,,70,12,,,,,,,,,6.3
Bonneville,3/27/2012,Sp,1,,79,29,,,,,,,,,6.4
Bonneville,3/28/2012,Sp,3,,95,31,,,,,,,,,6.3
Bonneville,3/29/2012,Sp,,,86,25,,,,,,,,,6.4
Bonneville,3/30/2012,Sp,2,,57,26,,,,,,,,,6.4
Bonneville,3/31/2012,Sp,1,,82,19,,,,,,,,,6.4
Bonneville,4/1/2012,Sp,2,,78,20,,,,,,,,,6.5
Bonneville,4/2/2012,Sp,1,,91,22,,,,,,,,,6.8
Bonneville,4/3/2012,Sp,3,,49,18,,,,,,,,,6.9
Bonneville,4/4/2012,Sp,4,,68,15,,,,,,,,,7
Bonneville,4/5/2012,Sp,17,,64,23,,,,,,,,,6.9
Bonneville,4/6/2012,Sp,20,1,42,6,,,,,,,,,7
Bonneville,4/7/2012,Sp,6,,28,6,,,,,,,,,7
Bonneville,4/8/2012,Sp,6,,30,15,,,,,,,,,7.2
Bonneville,4/9/2012,Sp,15,,60,17,,,,,,,,,7.5
Bonneville,4/10/2012,Sp,16,,33,11,,,,,,,,,7.8
Bonneville,4/11/2012,Sp,9,,20,4,,,,,,,,,7.9
Bonneville,4/12/2012,Sp,41,,26,,,,,,,,,,8
Bonneville,4/13/2012,Sp,78,1,35,11,,,,,,,,,8
Bonneville,4/14/2012,Sp,104,,58,18,,,,,,,,,8.2
Bonneville,4/15/2012,Sp,141,4,44,9,,,,,,,,,8.5
Bonneville,4/16/2012,Sp,120,6,27,7,,,,,,,,,8.6
Bonneville,4/17/2012,Sp,235,,31,16,,,,,,,,,8.4
Bonneville,4/18/2012,Sp,222,,35,5,,,,,,,,,8.4
Bonneville,4/19/2012,Sp,365,6,45,20,,,,,,,,,8.6
Bonneville,4/20/2012,Sp,655,9,44,17,,,,,,,,,8.9
Bonneville,4/21/2012,Sp,1321,9,64,18,,,,,,,,,9.2
