Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2019,,,,7,2,,2,,,,,,,
Bonneville,1/2/2019,,,,19,7,,,1,,-1,,,,
Bonneville,1/3/2019,,,,8,4,,1,,,,,,,
Bonneville,1/4/2019,,,,18,12,,,,,,,,,
Bonneville,1/5/2019,,,,11,6,,,,,,,,,
Bonneville,1/6/2019,,,,8,1,,1,,,,,,,
Bonneville,1/7/2019,,,,7,5,,,,,,,,,
Bonneville,1/8/2019,,,,1,-2,,,,,,,,,
Bonneville,1/9/2019,,,,2,,,,,,,,,,
Bonneville,1/10/2019,,,,6,1,,,,,,,,,
Bonneville,1/11/2019,,,,9,7,,,,,-1,,,,
Bonneville,1/12/2019,,,,4,-2,,,,,,,,,
Bonneville,1/13/2019,,,,5,4,,,,,,,,,
Bonneville,1/14/2019,,,,,-2,,,,,,,,,
Bonneville,1/15/2019,,,,3,,,,,,,,,,
Bonneville,1/16/2019,,,,4,1,,,,,,,,,
Bonneville,1/17/2019,,,,1,,,,,,1,,,,
Bonneville,1/18/2019,,,,5,1,,,,,-1,,,,
Bonneville,1/19/2019,,,,9,4,,,,,-1,,,,
Bonneville,1/20/2019,,,,9,4,,,,,,,,,
Bonneville,1/21/2019,,,,3,1,,1,,,-1,,,,
Bonneville,1/22/2019,,,,9,6,,,,,-4,,,,
Bonneville,1/23/2019,,,,6,5,,-1,,,,,,,
Bonneville,1/24/2019,,,,4,1,,,,,-2,,,,
Bonneville,1/25/2019,,,,2,1,,,,,-1,,,,
Bonneville,1/26/2019,,,,2,1,,,,,,,,,
Bonneville,1/27/2019,,,,,1,,,,,-1,,,,
Bonneville,1/28/2019,,,,3,2,,,,,,,,,
Bonneville,1/29/2019,,,,8,4,,,,,,,,,
Bonneville,1/30/2019,,,,8,7,,,,,-1,,,,
Bonneville,1/31/2019,,,,2,1,,,,,-3,,,,
Bonneville,2/1/2019,,,,3,2,,,,,-1,,,,
Bonneville,2/2/2019,,,,3,2,,,,,-1,,,,
Bonneville,2/3/2019,,,,6,4,,,,,-1,,,,
Bonneville,2/4/2019,,,,1,,,,,,,,,,
Bonneville,2/5/2019,,,,2,2,,,,,-1,,,,
Bonneville,2/6/2019,,,,5,3,,,,,-2,,,,
Bonneville,2/7/2019,,,,,1,,,,,-1,,,,
Bonneville,2/8/2019,,,,3,2,,,,,-1,,,,
Bonneville,2/9/2019,,,,-2,-1,,,,,-1,,,,
Bonneville,2/10/2019,,,,1,1,,,,,,,,,
Bonneville,2/11/2019,,,,-2,-2,,,,,-1,,,,
Bonneville,2/12/2019,,,,1,2,,,,,,,,,
Bonneville,2/13/2019,,,,2,1,,,,,,,,,
Bonneville,2/14/2019,,,,1,1,,,,,-3,,,,
Bonneville,2/15/2019,,,,,,,,,,,,,,
Bonneville,2/16/2019,,,,6,1,,,,,,,,,
Bonneville,2/17/2019,,,,5,,,,,,-3,,,,
Bonneville,2/18/2019,,,,1,1,,,,,-1,,,,
Bonneville,2/19/2019,,,,5,3,,,,,,,,,
Bonneville,2/20/2019,,,,4,,,,,,,,,,
Bonneville,2/21/2019,,,,3,3,,,,,,,,,
Bonneville,2/22/2019,,,,5,4,,,,,,,,,
Bonneville,2/23/2019,,,,2,2,,,,,,,,,
Bonneville,2/24/2019,,,,,,,,,,-2,,,,
Bonneville,2/25/2019,,,,4,3,,,,,,,,,
Bonneville,2/26/2019,,,,2,2,,,,,-1,,,,
Bonneville,2/27/2019,,,,2,2,,,,,,,,,
Bonneville,2/28/2019,,,,3,2,,,,,,,,,
Bonneville,3/1/2019,,,,9,7,,,,,,,,,
Bonneville,3/2/2019,,,,3,3,,,,,-1,,,,
Bonneville,3/3/2019,,,,5,4,,,,,,,,,
Bonneville,3/4/2019,,,,-1,-1,,,,,,,,,
Bonneville,3/5/2019,,,,3,3,,,,,,,,,
Bonneville,3/6/2019,,,,1,1,,,,,,,,,
Bonneville,3/7/2019,,,,1,1,,,,,,,,,
Bonneville,3/8/2019,,,,1,,,,,,,,,,
Bonneville,3/9/2019,,,,7,4,,,,,,,,,
Bonneville,3/10/2019,,,,6,2,,,,,-1,,,,
Bonneville,3/11/2019,,1,,5,1,,,,,,,,,
Bonneville,3/12/2019,,,,2,2,,,,,,,,,
Bonneville,3/13/2019,,,,5,2,,,,,,,,,
Bonneville,3/14/2019,,,,21,14,,,,,,,,,
Bonneville,3/15/2019,Sp,,,4,1,,,,,,,,,3.3
Bonneville,3/16/2019,Sp,2,,20,8,,,,,,,,,3.5
Bonneville,3/17/2019,Sp,1,,21,10,,,,,,,,,3.8
Bonneville,3/18/2019,Sp,,,11,2,,,,,,,,,4
Bonneville,3/19/2019,Sp,2,,48,22,,,,,-1,,,,4.2
Bonneville,3/20/2019,Sp,,,49,23,,,,,,,,,4.4
Bonneville,3/21/2019,Sp,3,,45,23,,,,,,,,,4.6
Bonneville,3/22/2019,Sp,1,,69,41,,,,,,,,,4.8
Bonneville,3/23/2019,Sp,2,,192,108,,,,,,,,,5.1
Bonneville,3/24/2019,Sp,,,145,68,,,,,,,,,5.5
Bonneville,3/25/2019,Sp,4,,49,28,,,,,,,,,5.7
Bonneville,3/26/2019,Sp,1,,50,28,,,,,,,,,5.8
Bonneville,3/27/2019,Sp,1,,27,17,,,,,,,,,5.9
Bonneville,3/28/2019,Sp,4,,47,29,,,,,,,,,6.1
Bonneville,3/29/2019,Sp,8,,40,21,,,,,,,,,6.4
Bonneville,3/30/2019,Sp,2,,46,33,,,,,,,,,6.7
Bonneville,3/31/2019,Sp,12,,40,21,,,,,,,,,7.1
Bonneville,4/1/2019,Sp,4,2,27,12,,,,,,,,,7.3
Bonneville,4/2/2019,Sp,8,-1,29,21,,,,,,,,,7.5
Bonneville,4/3/2019,Sp,28,1,23,14,,,,,,,,,7.6
Bonneville,4/4/2019,Sp,23,1,24,12,,,,,,,,,7.8
Bonneville,4/5/2019,Sp,15,,17,11,,,,,,,,,8
Bonneville,4/6/2019,Sp,27,,20,15,,,,,,,,,8
Bonneville,4/7/2019,Sp,20,,32,20,,,,,,,,,8.1
Bonneville,4/8/2019,Sp,8,,36,22,,,,,,,,,8.2
Bonneville,4/9/2019,Sp,7,,12,10,,,,,,,,,8.3
Bonneville,4/10/2019,Sp,,,6,3,,,,,,,,,8.5
Bonneville,4/11/2019,Sp,5,,32,17,,,,,,,,,8.9
Bonneville,4/12/2019,Sp,8,,20,11,,,,,,,,,9.2
Bonneville,4/13/2019,Sp,1,,11,5,,,,,,,,,9.2
Bonneville,4/14/2019,Sp,19,,12,8,,,,,,,,,9.2
Bonneville,4/15/2019,Sp,12,,11,8,,,,,,,,,9.1
Bonneville,4/16/2019,Sp,38,,8,3,,,,,,,,,9.2
Bonneville,4/17/2019,Sp,54,1,8,5,,,,,,,,,9.6
Bonneville,4/18/2019,Sp,63,,15,10,,,,,,,,,10
Bonneville,4/19/2019,Sp,88,,19,7,,,,,,,,,10.4
Bonneville,4/20/2019,Sp,148,,19,6,,,,,,,,,10.7
Bonneville,4/21/2019,Sp,235,2,10,7,,,,,,,,,10.8
Bonneville,4/22/2019,Sp,220,2,22,11,,,,,,,,,10.8
Bonneville,4/23/2019,Sp,175,,15,4,,,,,,,,,10.9
Bonneville,4/24/2019,Sp,195,,3,1,,,,,,,,,11.1
Bonneville,4/25/2019,Sp,161,,4,,,,,,,,,,11.1
Bonneville,4/26/2019,Sp,133,1,10,6,,,,,,,,,11.3
Bonneville,4/27/2019,Sp,356,4,5,2,,,,,,,,,11.5
Bonneville,4/28/2019,Sp,497,6,9,2,,,,,,,,,11.6
Bonneville,4/29/2019,Sp,745,14,15,4,,,,,,,,,11.9
Bonneville,4/30/2019,Sp,1368,22,19,6,,,,,,,,,12
Bonneville,5/1/2019,Sp,2488,27,15,2,,,,,1,,,,12
Bonneville,5/2/2019,Sp,5051,96,20,5,,,,,,,,,11.9
Bonneville,5/3/2019,Sp,2592,48,17,5,,,,,,,,,11.8
Bonneville,5/4/2019,Sp,1606,25,19,5,,,,,,,,,11.9
Bonneville,5/5/2019,Sp,1565,53,15,1,,,,,,,,,12.1
Bonneville,5/6/2019,Sp,2259,96,20,7,,,,,1,,,,12.4
Bonneville,5/7/2019,Sp,4807,263,26,9,,,,1,1,,,,12.5
Bonneville,5/8/2019,Sp,2736,209,21,7,,,,12,,,,,12.6
Bonneville,5/9/2019,Sp,2209,194,14,7,,,,114,,,,,12.9
