Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2021,,,-4,3,1,,,,,,,,,
Bonneville,1/2/2021,,-1,,7,4,,,,,,,,,
Bonneville,1/3/2021,,,,9,4,,,,,,,,,
Bonneville,1/4/2021,,,,11,1,,,,,,,,,
Bonneville,1/5/2021,,,,9,2,,,,,,,,,
Bonneville,1/6/2021,,,,4,3,,,,,,,,,
Bonneville,1/7/2021,,,,,3,,,,,,,,,
Bonneville,1/8/2021,,,,6,2,,-1,,,,,,,
Bonneville,1/9/2021,,,,8,5,,1,,,,,,,
Bonneville,1/10/2021,,,,11,3,,,,,,,,,
Bonneville,1/11/2021,,,,8,3,,,,,,,,,
Bonneville,1/12/2021,,,,10,5,,,,,,,,,
Bonneville,1/13/2021,,,,14,2,,,,,,,,,
Bonneville,1/14/2021,,,,6,,,,,,,,,,
Bonneville,1/15/2021,,,,20,10,,,,,,,,,
Bonneville,1/16/2021,,,,17,10,,,,,,,,,
Bonneville,1/17/2021,,,,10,6,,,,,,,,,
Bonneville,1/18/2021,,,,8,4,,,,,,,,,
Bonneville,1/19/2021,,,,9,6,,,,,,,,,
Bonneville,1/20/2021,,,,5,3,,,,,,,,,
Bonneville,1/21/2021,,,,2,1,,,,,,,,,
Bonneville,1/22/2021,,,,10,7,,,,,,,,,
Bonneville,1/23/2021,,,,1,3,,,,,,,,,
Bonneville,1/24/2021,,,,5,2,,,,,,,,,
Bonneville,1/25/2021,,,,8,5,,,,,,,,,
Bonneville,1/26/2021,,,,,,,,,,,,,,
Bonneville,1/27/2021,,,,10,5,,,,,,,,,
Bonneville,1/28/2021,,,,10,8,,,,,,,,,
Bonneville,1/29/2021,,,,8,4,,,,,,,,,
Bonneville,1/30/2021,,,,8,2,,,,,,,,,
Bonneville,1/31/2021,,,,4,2,,,,,,,,,
Bonneville,2/1/2021,,,,3,2,,,,,,,,,
Bonneville,2/2/2021,,,,5,2,,,,,,,,,
Bonneville,2/3/2021,,,,6,2,,,,,,,,,
Bonneville,2/4/2021,,,,2,2,,,,,,,,,
Bonneville,2/5/2021,,,,3,,,,,,,,,,
Bonneville,2/6/2021,,,,6,3,,,,,,,,,
Bonneville,2/7/2021,,,,8,4,,,,,,,,,
Bonneville,2/8/2021,,,,4,3,,,,,,,,,
Bonneville,2/9/2021,,,,4,3,,,,,,,,,
Bonneville,2/10/2021,,,,4,2,,,,,,,,,
Bonneville,2/11/2021,,,,3,3,,,,,,,,,
Bonneville,2/12/2021,,,,4,3,,,,,,,,,
Bonneville,2/13/2021,,,,2,2,,,,,,,,,
Bonneville,2/14/2021,,,1,1,,,,-1,,,,,,
Bonneville,2/15/2021,,,,4,1,,,,,,,,,
Bonneville,2/16/2021,,,,11,5,,,,,,,,,
Bonneville,2/17/2021,,,,6,3,,,,,,,,,
Bonneville,2/18/2021,,,,3,,,,,,,,,,
Bonneville,2/19/2021,,,,,1,,,,,,,,,
Bonneville,2/20/2021,,,,3,2,,,,,,,,,
Bonneville,2/21/2021,,,,4,2,,,,,,,,,
