Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/08,,,,29,18,,,,,,,,,5
Bonneville,1/2/08,,,,-2,-1,,,,,,,,,5
Bonneville,1/3/08,,,,3,1,,,,,,,,,4.4
Bonneville,1/4/08,,,,9,3,,,,,,,,,4.4
Bonneville,1/5/08,,,,10,7,,,,,,,,,4.4
Bonneville,1/6/08,,,,3,2,,,,,,,,,
Bonneville,1/7/08,,,,2,4,,,,,,,,,5
Bonneville,1/8/08,,,,6,1,,,,,,,,,5
Bonneville,1/9/08,,,,2,2,,,,,,,,,4.4
Bonneville,1/10/08,,,,5,3,,,,,,,,,4.4
Bonneville,1/11/08,,,,27,13,,,,,,,,,4.4
Bonneville,1/12/08,,,,15,4,,,,,,,,,4.4
Bonneville,1/13/08,,,,4,4,,,,,,,,,4.4
Bonneville,1/14/08,,,,11,8,,,,,,,,,4.4
Bonneville,1/15/08,,,,4,3,,,,,,,,,4.4
Bonneville,1/16/08,,,,,,,,,,,,,,4.4
Bonneville,1/17/08,,,,1,1,,,,,,,,,3.9
Bonneville,1/18/08,,,,,2,,,,,,,,,3.9
Bonneville,1/19/08,,,,-1,-1,,,,,,,,,3.9
Bonneville,1/20/08,,,,2,2,,,,,,,,,3.9
Bonneville,1/21/08,,,,1,1,,,,,,,,,3.9
Bonneville,1/22/08,,,,3,1,,,,,,,,,3.9
Bonneville,1/23/08,,,,1,,,,,,,,,,3.3
Bonneville,1/24/08,,,,,,,,,,,,,,2.8
Bonneville,1/25/08,,,,,,,-1,,,,,,,2.8
Bonneville,1/26/08,,,,-1,,,,,,,,,,2.8
Bonneville,1/27/08,,,,2,2,,,,,,,,,2.2
Bonneville,1/28/08,,,,,-1,,,,,,,,,2.2
Bonneville,1/29/08,,,,1,1,,,,,,,,,2.8
Bonneville,1/30/08,,,,3,-1,,,,,,,,,2.8
Bonneville,1/31/08,,,,5,1,,,,,,,,,2.8
Bonneville,2/1/08,,,,-1,-1,,,,,,,,,2.8
Bonneville,2/2/08,,,,2,1,,,,,,,,,2.8
Bonneville,2/3/08,,,,-1,-1,,,,,,,,,2.8
Bonneville,2/4/08,,,,-2,-1,,,,,,,,,2.8
Bonneville,2/5/08,,1,,,,,,,,,,,,2.2
Bonneville,2/6/08,,,,2,,,,,,,,,,2.2
Bonneville,2/7/08,,,,1,,,,,,,,,,2.2
Bonneville,2/8/08,,,,-2,1,,,,,,,,,2.2
Bonneville,2/9/08,,,,2,1,,,,,,,,,2.8
Bonneville,2/10/08,,,,10,3,,,,,,,,,2.8
