Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/2013,,,,9,2,,,,,,,,,6.1
Bonneville,1/2/2013,,,,8,2,,,,,,,,,5
Bonneville,1/3/2013,,,,11,7,,,,,-1,,,,5
Bonneville,1/4/2013,,,,10,3,,,,,,,,,5
Bonneville,1/5/2013,,,,10,6,,,,,,,,,5
Bonneville,1/6/2013,,,,7,,,,,,,,,,5
Bonneville,1/7/2013,,,,19,4,,,,,,,,,5
Bonneville,1/8/2013,,,,24,6,,,,,,,,,5
Bonneville,1/9/2013,,,,13,4,,,,,,,,,5
Bonneville,1/10/2013,,,,12,5,,,,,,,,,5
Bonneville,1/11/2013,,,,12,6,,,,,,,,,5
Bonneville,1/12/2013,,,,17,7,,,,,,,,,5
Bonneville,1/13/2013,,,,9,2,,,,,,,,,5
Bonneville,1/14/2013,,,,7,3,,,,,,,,,4.4
Bonneville,1/15/2013,,,,6,3,,,,,,,,,4.4
Bonneville,1/16/2013,,,,1,,,,,,,,,,3.9
Bonneville,1/17/2013,,,,2,,,,,,,,,,4.4
Bonneville,1/18/2013,,,,2,1,,,,,,,,,4.4
Bonneville,1/19/2013,,,,8,4,,,,,,,,,3.9
Bonneville,1/20/2013,,,,2,2,,,,,,,,,3.9
Bonneville,1/21/2013,,,,3,1,,,,,,,,,3.9
Bonneville,1/22/2013,,,,,,,,,,,,,,3.9
Bonneville,1/23/2013,,,,,,,,,,,,,,3.9
Bonneville,1/24/2013,,,,1,1,,,,,,,,,2.8
Bonneville,1/25/2013,,,,3,,,,,,,,,,3.3
Bonneville,1/26/2013,,,,2,,,,,,,,,,3.3
Bonneville,1/27/2013,,,,,,,,,,,,,,3.3
Bonneville,1/28/2013,,,,1,,,,,,,,,,3.3
Bonneville,1/29/2013,,,,2,,,,,,,,,,3.3
Bonneville,1/30/2013,,,,7,1,,,,,,,,,2.8
Bonneville,1/31/2013,,,,,,,,,,,,,,3.3
Bonneville,2/1/2013,,,,13,5,,,,,,,,,3.3
Bonneville,2/2/2013,,,,,-1,,,,,,,,,3.3
Bonneville,2/3/2013,,,,5,2,,,,,,,,,3.3
Bonneville,2/4/2013,,,,,-1,,,,,,,,,3.9
Bonneville,2/5/2013,,,,-1,,,,,,,,,,3.9
Bonneville,2/6/2013,,,,,1,,,,,,,,,3.9
Bonneville,2/7/2013,,,,7,1,,,,,,,,,4.4
Bonneville,2/8/2013,,,,4,2,,,,,,,,,3.9
Bonneville,2/9/2013,,,,6,2,,,,,,,,,4.4
Bonneville,2/10/2013,,,,8,2,,,,,,,,,4.4
Bonneville,2/11/2013,,,,2,1,,,,,,,,,4.4
Bonneville,2/12/2013,,,,9,4,,,,,,,,,4.4
Bonneville,2/13/2013,,1,,9,3,,,,,,,,,4.4
Bonneville,2/14/2013,,,,8,2,,,,,,,,,4.4
Bonneville,2/15/2013,,,,10,3,,,,,,,,,4.4
Bonneville,2/16/2013,,,,3,,,,,,,,,,4.4
Bonneville,2/17/2013,,,,3,,,,,,,,,,5
Bonneville,2/18/2013,,,,3,2,,,,,,,,,4.4
Bonneville,2/19/2013,,,,4,2,,,,,,,,,4.4
Bonneville,2/20/2013,,1,,4,,,,,,,,,,5
Bonneville,2/21/2013,,,,7,2,,,,,,,,,5
Bonneville,2/22/2013,,,,32,5,,,,,,,,,5
Bonneville,2/23/2013,,,,7,2,,,,,,,,,5
Bonneville,2/24/2013,,1,,8,1,,,,,,,,,5
Bonneville,2/25/2013,,,,4,1,,,,,,,,,5
Bonneville,2/26/2013,,,,11,,,,,,,,,,4.4
Bonneville,2/27/2013,,3,,25,7,,,,,,,,,4.4
Bonneville,2/28/2013,,,,33,7,,,,,,,,,4.4
Bonneville,3/1/2013,,2,,88,24,,,,,,,,,5
Bonneville,3/2/2013,,1,,30,5,,,,,,,,,5
Bonneville,3/3/2013,,7,,23,9,,,,,,,,,5
Bonneville,3/4/2013,,-1,,37,11,,,,,,,,,5.6
Bonneville,3/5/2013,,1,,17,5,,,,,,,,,5.6
Bonneville,3/6/2013,,2,,10,2,,,,,,,,,5.6
Bonneville,3/7/2013,,1,,13,3,,,,,,,,,5.6
Bonneville,3/8/2013,,1,,12,-1,,,,,,,,,5
Bonneville,3/9/2013,,3,1,10,2,,,,,,,,,5.6
Bonneville,3/10/2013,,6,,16,6,,,,,,,,,5.6
Bonneville,3/11/2013,,2,,22,4,,,,,,,,,5.6
Bonneville,3/12/2013,,6,,34,8,,,,,,,,,5.6
Bonneville,3/13/2013,,3,,38,12,,,,,,,,,5.6
Bonneville,3/14/2013,,6,,40,14,,,,,,,,,5.6
Bonneville,3/15/2013,Sp,22,,79,18,,,,,,,,,6.1
Bonneville,3/16/2013,Sp,5,,24,4,,,,,,,,,7.2
Bonneville,3/17/2013,Sp,7,,47,14,,,,,,,,,7.2
Bonneville,3/18/2013,Sp,7,,29,10,,,,,,,,,7.2
Bonneville,3/19/2013,Sp,8,,29,7,,,,,,,,,6.7
Bonneville,3/20/2013,Sp,4,,23,10,,,,,,,,,6.7
Bonneville,3/21/2013,Sp,12,,111,30,,,,,,,,,6.5
Bonneville,3/22/2013,Sp,12,,53,25,,,,,,,,,6.5
Bonneville,3/23/2013,Sp,8,1,35,12,,,,,,,,,6.6
Bonneville,3/24/2013,Sp,6,,36,9,,,,,,,,,6.6
Bonneville,3/25/2013,Sp,5,,19,6,,,,,,,,,6.6
Bonneville,3/26/2013,Sp,16,,40,10,,,,,,,,,6.8
Bonneville,3/27/2013,Sp,10,,39,9,,,,,,,,,7
Bonneville,3/28/2013,Sp,25,,53,15,,,,,,,,,7.2
Bonneville,3/29/2013,Sp,22,,72,26,,,,,,,,,7.5
Bonneville,3/30/2013,Sp,26,,79,25,,,,,,,,,7.8
Bonneville,3/31/2013,Sp,45,,76,23,,,,,,,,,8.1
Bonneville,4/1/2013,Sp,45,1,94,31,,,,,,,,,8.3
Bonneville,4/2/2013,Sp,71,2,81,30,,,,,,,,,8.6
Bonneville,4/3/2013,Sp,91,1,59,29,,,,,,,,,8.9
Bonneville,4/4/2013,Sp,70,1,39,13,,,,,,,,,8.9
Bonneville,4/5/2013,Sp,55,,73,25,,,,,,,,,8.8
Bonneville,4/6/2013,Sp,40,,37,8,,,,,,,,,9
Bonneville,4/7/2013,Sp,61,,44,23,,,,,,,,,9
Bonneville,4/8/2013,Sp,145,,54,24,,,,,,,,,9.1
Bonneville,4/9/2013,Sp,177,1,52,22,,,,,,,,,9.4
