Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,3/15/1998,Sp,11,,16,4,,,,,,,,,7
Bonneville,3/16/1998,Sp,10,,43,7,,,,,,,,,7.2
Bonneville,3/17/1998,Sp,8,,30,4,,,,,,,,,7.2
Bonneville,3/18/1998,Sp,1,,3,,,,,,,,,,7.3
Bonneville,3/19/1998,Sp,6,,19,7,,,,,,,,,7.5
Bonneville,3/20/1998,Sp,5,,28,5,,,,,,,,,7.8
Bonneville,3/21/1998,Sp,9,,18,2,,,,,,,,,7.9
Bonneville,3/22/1998,Sp,19,,27,4,,,,,,,,,8.1
Bonneville,3/23/1998,Sp,41,,60,10,,,,,,,,,8.2
Bonneville,3/24/1998,Sp,2,,19,-2,,,,,,,,,8.2
Bonneville,3/25/1998,Sp,14,,48,8,,,,,,,,,8.3
Bonneville,3/26/1998,Sp,15,,30,4,,,,,,,,,8.4
Bonneville,3/27/1998,Sp,42,,30,4,,,,,,,,,8.5
Bonneville,3/28/1998,Sp,20,,17,1,,,,,,,,,8.5
Bonneville,3/29/1998,Sp,21,,27,2,,,,,,,,,8.4
Bonneville,3/30/1998,Sp,37,,37,10,,,,,,,,,8.3
Bonneville,3/31/1998,Sp,75,,28,6,,,,,,,,,8.4
Bonneville,4/1/1998,Sp,148,,45,14,,,,,,,,,8.5
Bonneville,4/2/1998,Sp,240,,35,13,,,,,,,,,8.4
Bonneville,4/3/1998,Sp,185,,38,9,,,,,,,,,8.4
Bonneville,4/4/1998,Sp,310,1,35,3,,,,,,,,,8.4
Bonneville,4/5/1998,Sp,290,1,32,9,,,,,,,,,8.5
Bonneville,4/6/1998,Sp,603,,60,15,,,,,,,,,8.7
Bonneville,4/7/1998,Sp,441,-1,43,16,,,,,,,,,8.8
Bonneville,4/8/1998,Sp,434,,35,11,,,,,,,,,8.7
Bonneville,4/9/1998,Sp,592,,49,11,,,,,,,,,8.9
Bonneville,4/10/1998,Sp,724,,39,12,,,,,,,,,9
Bonneville,4/11/1998,Sp,774,1,34,5,,,,,,,,,9.1
Bonneville,4/12/1998,Sp,771,5,36,7,,,,,,,,,9.2
Bonneville,4/13/1998,Sp,903,2,25,7,,,,,,,,,9.2
Bonneville,4/14/1998,Sp,816,,16,4,,,,,,,,,9
Bonneville,4/15/1998,Sp,671,2,11,-3,,,,,,,,,9.1
