Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,3/15/1999,Sp,,,37,,,,,,,,,,5.7
Bonneville,3/16/1999,Sp,,,21,1,,,,,,,,,5.8
Bonneville,3/17/1999,Sp,,,8,2,,,,,,,,,5.7
Bonneville,3/18/1999,Sp,3,,23,,,,,,,,,,5.9
Bonneville,3/19/1999,Sp,4,,27,3,,,,,,,,,6.2
Bonneville,3/20/1999,Sp,12,,36,,,,,,,,,,6.4
Bonneville,3/21/1999,Sp,10,,32,,,,,,,,,,6.6
Bonneville,3/22/1999,Sp,21,1,14,3,,,,,,,,,6.7
Bonneville,3/23/1999,Sp,8,,9,,,,,,,,,,6.8
Bonneville,3/24/1999,Sp,12,,24,-1,,,,,,,,,6.9
Bonneville,3/25/1999,Sp,13,,24,,,,,,,,,,7
Bonneville,3/26/1999,Sp,4,,12,-1,,,,,,,,,6.9
Bonneville,3/27/1999,Sp,8,,16,,,,,,,,,,6.9
Bonneville,3/28/1999,Sp,7,,20,,,,,,,,,,7.2
Bonneville,3/29/1999,Sp,17,,25,,,,,,,,,,7.4
Bonneville,3/30/1999,Sp,16,,18,,,,,,,,,,7.5
Bonneville,3/31/1999,Sp,14,,9,,,,,,,,,,7.6
Bonneville,4/1/1999,Sp,37,,36,14,,,,,,,,,7.6
Bonneville,4/2/1999,Sp,53,1,27,8,,,,,,,,,7.6
Bonneville,4/3/1999,Sp,43,,29,8,,,,,,,,,7.6
Bonneville,4/4/1999,Sp,44,,32,11,,,,,,,,,7.6
Bonneville,4/5/1999,Sp,69,,25,9,,,,,,,,,7.5
Bonneville,4/6/1999,Sp,103,1,25,1,,,,,,,,,7.6
Bonneville,4/7/1999,Sp,105,1,27,6,,,,,,,,,7.7
Bonneville,4/8/1999,Sp,160,,25,6,,,,,,,,,7.7
Bonneville,4/9/1999,Sp,165,1,16,5,,,,,,,,,7.6
Bonneville,4/10/1999,Sp,174,,17,3,,,,,,,,,7.6
Bonneville,4/11/1999,Sp,178,,26,6,,,,,,,,,7.8
Bonneville,4/12/1999,Sp,417,2,17,5,,,,,,,,,8.1
Bonneville,4/13/1999,Sp,459,2,41,12,,,,,,,,,8.3
Bonneville,4/14/1999,Sp,398,1,45,6,,,,,,,,,8.4
Bonneville,4/15/1999,Sp,482,4,37,10,,,,,,,,,8.4
Bonneville,4/16/1999,Sp,453,5,25,7,,,,,,,,,8.5
Bonneville,4/17/1999,Sp,926,8,23,5,,,,,,,,,8.9
Bonneville,4/18/1999,Sp,862,15,40,5,,,,,,,,,9.2
Bonneville,4/19/1999,Sp,978,8,29,12,,,,,,,,,9.2
Bonneville,4/20/1999,Sp,649,6,41,10,,,,,,,,,9.2
Bonneville,4/21/1999,Sp,811,22,22,9,,,,,,,,,9.3
Bonneville,4/22/1999,Sp,950,24,27,2,,,,,,,,,9.6
Bonneville,4/23/1999,Sp,1251,29,31,9,,,,,2,,,,10
Bonneville,4/24/1999,Sp,827,23,23,2,,,,,8,,,,10.2
Bonneville,4/25/1999,Sp,1150,45,22,2,,,,,4,,,,10.5
Bonneville,4/26/1999,Sp,1399,77,35,6,,,,,14,,,,10.6
Bonneville,4/27/1999,Sp,1250,70,11,-1,,,,,4,,,,10.5
Bonneville,4/28/1999,Sp,1063,64,25,4,,,,,2,,,,10.5
Bonneville,4/29/1999,Sp,1222,94,16,2,,,,,,,,,10.7
Bonneville,4/30/1999,Sp,1289,87,22,5,,,,,32,,,,10.9
Bonneville,5/1/1999,Sp,1230,105,12,3,,,,,8,,,,11
Bonneville,5/2/1999,Sp,1304,170,19,2,,,,,16,,,,10.9
Bonneville,5/3/1999,Sp,1371,202,22,4,,,,,6,,,,10.9
Bonneville,5/4/1999,Sp,1438,179,25,5,,,,,12,,,,10.8
Bonneville,5/5/1999,Sp,1237,255,28,,,,,1,14,,,,10.8
Bonneville,5/6/1999,Sp,1100,373,27,-1,,,,4,8,,,,10.8
Bonneville,5/7/1999,Sp,1207,321,23,1,,,,,16,,,,10.8
Bonneville,5/8/1999,Sp,1123,388,22,2,,,,,6,,,,10.9
Bonneville,5/9/1999,Sp,891,414,34,5,,,,5,12,,,,10.7
Bonneville,5/10/1999,Sp,810,468,26,3,,,,2,,,,,10.6
Bonneville,5/11/1999,Sp,802,461,47,3,,,,5,10,,,,10.8
Bonneville,5/12/1999,Sp,823,458,33,5,,,,20,8,,,,10.9
Bonneville,5/13/1999,Sp,674,445,56,10,,,,69,14,,,,10.4
Bonneville,5/14/1999,Sp,671,396,46,4,,,,100,8,,,,10.9
Bonneville,5/15/1999,Sp,624,430,36,2,,,,206,8,,,,11
Bonneville,5/16/1999,Sp,620,472,46,2,,,,595,10,,,,11.2
Bonneville,5/17/1999,Sp,437,257,53,2,,,,493,12,,,,11.3
Bonneville,5/18/1999,Sp,425,280,37,4,,,,628,24,,,,11.5
Bonneville,5/19/1999,Sp,382,308,35,2,,,,495,32,,,,11.7
Bonneville,5/20/1999,Sp,298,232,30,9,,,,1416,22,,,,12.1
Bonneville,5/21/1999,Sp,274,150,38,1,,,,1627,228,,,,12.3
Bonneville,5/22/1999,Sp,240,156,33,3,,,,938,72,,,,12.6
