Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,3/15/1990,Sp,2,,27,,,,,,,,,,6.7
Bonneville,3/16/1990,Sp,1,,44,,,,,,,,,,7.2
Bonneville,3/17/1990,Sp,2,,36,,,,,,,,,,6.7
Bonneville,3/18/1990,Sp,1,,60,,,,,,,,,,7.2
Bonneville,3/19/1990,Sp,,,46,,,,,,,,,,7.8
Bonneville,3/20/1990,Sp,2,,84,,,,,,,,,,7.8
Bonneville,3/21/1990,Sp,12,,67,,,,,,,,,,7.8
Bonneville,3/22/1990,Sp,7,,52,,,,,,,,,,7.8
Bonneville,3/23/1990,Sp,8,,83,,,,,,,,,,7.2
Bonneville,3/24/1990,Sp,19,,68,,,,,,,,,,7.8
Bonneville,3/25/1990,Sp,46,,60,,,,,,,,,,7.8
Bonneville,3/26/1990,Sp,66,,85,,,,,,,,,,7.8
Bonneville,3/27/1990,Sp,105,1,54,,,,,,,,,,7.8
Bonneville,3/28/1990,Sp,151,,56,,,,,,,,,,7.8
Bonneville,3/29/1990,Sp,85,,43,,,,,,,,,,7.8
Bonneville,3/30/1990,Sp,85,,53,,,,,,,,,,7.8
Bonneville,3/31/1990,Sp,84,,48,,,,,,,,,,7.8
Bonneville,4/1/1990,Sp,904,1,108,,,,,,,,,,7.8
Bonneville,4/2/1990,Sp,876,1,57,,,,,,,,,,7.8
Bonneville,4/3/1990,Sp,660,10,93,,,,,,,,,,8.3
Bonneville,4/4/1990,Sp,618,1,98,,,,,,,,,,8.9
Bonneville,4/5/1990,Sp,945,2,89,,,,,,,,,,9.4
Bonneville,4/6/1990,Sp,1144,1,83,,,,,,,,,,9.4
Bonneville,4/7/1990,Sp,1298,2,67,,,,,,,,,,9.4
Bonneville,4/8/1990,Sp,1624,4,78,,,,,,,,,,9.4
Bonneville,4/9/1990,Sp,1362,2,76,,,,,,,,,,9.4
Bonneville,4/10/1990,Sp,1407,9,107,,,,,,,,,,9.4
Bonneville,4/11/1990,Sp,2508,17,64,,,,,,,,,,10
Bonneville,4/12/1990,Sp,2340,17,72,,,,,,,,,,10
Bonneville,4/13/1990,Sp,3793,40,114,,,,,,,,,,10
Bonneville,4/14/1990,Sp,3131,18,88,,,,,,,,,,10.6
Bonneville,4/15/1990,Sp,4034,22,106,,,,,,,,,,10.6
Bonneville,4/16/1990,Sp,4637,28,97,,,,,,,,,,11.1
Bonneville,4/17/1990,Sp,4928,27,96,,,,,,,,,,11.7
Bonneville,4/18/1990,Sp,2361,30,90,,,,,,,,,,11.7
Bonneville,4/19/1990,Sp,2060,26,118,,,,,,,,,,11.7
Bonneville,4/20/1990,Sp,2422,30,74,,,,,,,,,,11.7
Bonneville,4/21/1990,Sp,2233,37,97,,,,,,,,,,12.2
Bonneville,4/22/1990,Sp,4023,44,87,,,,,,,,,,12.2
Bonneville,4/23/1990,Sp,2932,49,83,,,,,,,,,,12.2
Bonneville,4/24/1990,Sp,3031,32,77,,,,,2,,,,,12.2
Bonneville,4/25/1990,Sp,3726,42,68,,,,,,,,,,12.2
Bonneville,4/26/1990,Sp,2542,42,75,,,,,,,,,,12.2
Bonneville,4/27/1990,Sp,2336,46,74,,,,,,,,,,12.2
Bonneville,4/28/1990,Sp,982,31,79,,,,,1,,,,,12.2
Bonneville,4/29/1990,Sp,844,27,73,,,,,,,,,,12.2
Bonneville,4/30/1990,Sp,1164,33,75,,,,,1,,,,,11.7
Bonneville,5/1/1990,Sp,1849,66,75,,,,,6,,,,,11.7
Bonneville,5/2/1990,Sp,2070,66,90,,,,,24,,,,,12.2
Bonneville,5/3/1990,Sp,2110,77,101,,,,,9,,,,,12.2
Bonneville,5/4/1990,Sp,1907,71,126,,,,,116,,,,,12.2
Bonneville,5/5/1990,Sp,1372,65,129,,,,,122,,,,,12.2
Bonneville,5/6/1990,Sp,2123,63,174,,,,,93,,,,,12.8
Bonneville,5/7/1990,Sp,1626,58,166,,,,,28,,,,,12.8
Bonneville,5/8/1990,Sp,1211,60,160,,,,,19,,,,,12.8
Bonneville,5/9/1990,Sp,1219,80,157,,,,,154,,,,,12.8
Bonneville,5/10/1990,Sp,1793,71,196,,,,,334,,,,,13.3
Bonneville,5/11/1990,Sp,1117,82,157,,,,,161,,,,,13.3
Bonneville,5/12/1990,Sp,659,69,133,,,,,109,,,,,13.3
Bonneville,5/13/1990,Sp,678,57,140,,,,,330,,,,,13.3
Bonneville,5/14/1990,Sp,673,68,147,,,,,116,,,,,13.3
Bonneville,5/15/1990,Sp,576,42,135,,,,,176,,,,,12.8
Bonneville,5/16/1990,Sp,657,41,112,,,,,1597,,,,,12.8
Bonneville,5/17/1990,Sp,489,26,111,,,,,6731,,,,,13.3
Bonneville,5/18/1990,Sp,445,42,127,,,,,893,,,,,13.3
Bonneville,5/19/1990,Sp,507,42,145,,,,,2090,,,,,13.3
Bonneville,5/20/1990,Sp,476,36,160,,,,,4941,,,,,13.3
Bonneville,5/21/1990,Sp,337,29,120,,,,,3852,,,,,13.3
Bonneville,5/22/1990,Sp,327,30,115,,,,,16253,,,,,13.3
Bonneville,5/23/1990,Sp,324,37,187,,,,,18200,,,,,13.3
Bonneville,5/24/1990,Sp,178,15,133,,,,,11000,,,,,13.3
Bonneville,5/25/1990,Sp,283,17,139,,,,,27282,,,,,13.9
Bonneville,5/26/1990,Sp,259,20,164,,,,,35569,,,,,14.4
Bonneville,5/27/1990,Sp,262,24,211,,,,,148946,,,,,14.4
Bonneville,5/28/1990,Sp,391,26,221,,,,,80121,,,,,14.4
Bonneville,5/29/1990,Sp,267,22,199,,,,,32722,,,,,14.4
Bonneville,5/30/1990,Sp,204,10,143,,,,,20509,,,,,14.4
Bonneville,5/31/1990,Sp,228,10,128,,,,,120114,,,,,15
Bonneville,6/1/1990,Su,329,16,132,,,,,36738,,,,,15
Bonneville,6/2/1990,Su,391,18,173,,1,,,60462,,,,,15
Bonneville,6/3/1990,Su,353,16,181,,,,,69289,,,,,15
Bonneville,6/4/1990,Su,438,16,134,,,,,59223,,,,,15
Bonneville,6/5/1990,Su,409,18,168,,3,,,59387,,,,,15
Bonneville,6/6/1990,Su,435,13,153,,,,,48269,,,,,15
Bonneville,6/7/1990,Su,410,29,169,,,,,92614,,,,,15
Bonneville,6/8/1990,Su,466,48,152,,1,,,78288,,,,,15
Bonneville,6/9/1990,Su,433,51,185,,3,,,89386,,,,,15
Bonneville,6/10/1990,Su,417,30,166,,,,,52068,,,,,15
Bonneville,6/11/1990,Su,544,25,131,,5,,,60911,,,,,15
Bonneville,6/12/1990,Su,427,17,156,,10,,,26900,,,,,15
Bonneville,6/13/1990,Su,334,9,206,,12,,,22429,,,,,15
Bonneville,6/14/1990,Su,322,10,207,,16,,,37400,,,,,15
