Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,3/15/00,Sp,4,,58,31,,,,,,,,,6.3
Bonneville,3/16/00,Sp,3,,45,26,,,,,,,,,6.4
Bonneville,3/17/00,Sp,4,,38,19,,,,,,,,,6.3
Bonneville,3/18/00,Sp,2,,45,21,,,,,,,,,6.3
Bonneville,3/19/00,Sp,6,,32,18,,,,,,,,,6.4
Bonneville,3/20/00,Sp,8,1,24,15,,,,,,,,,6.4
Bonneville,3/21/00,Sp,23,1,43,13,,,,,,,,,6.7
Bonneville,3/22/00,Sp,33,1,52,28,,,,,,,,,6.9
Bonneville,3/23/00,Sp,16,,66,21,,,,,,,,,7
Bonneville,3/24/00,Sp,37,,51,25,,,,,,,,,7.1
Bonneville,3/25/00,Sp,86,1,44,17,,,,,,,,,7.1
Bonneville,3/26/00,Sp,84,,18,5,,,,,,,,,7.2
Bonneville,3/27/00,Sp,132,-1,30,13,,,,,,,,,7.3
Bonneville,3/28/00,Sp,290,1,53,10,,,,,,,,,7.3
Bonneville,3/29/00,Sp,200,,53,11,,,,,,,,,7.4
Bonneville,3/30/00,Sp,178,3,40,17,,,,,,,,,7.6
Bonneville,3/31/00,Sp,330,4,38,11,,,,,,,,,7.8
Bonneville,4/1/00,Sp,1693,4,58,24,,,,,,,,,8.1
Bonneville,4/2/00,Sp,2076,9,61,32,,,,,,,,,8.4
Bonneville,4/3/00,Sp,1872,15,59,21,,,,,,,,,8.7
Bonneville,4/4/00,Sp,2833,16,55,34,,,,,,,,,8.8
Bonneville,4/5/00,Sp,1754,17,43,26,,,,,,,,,8.7
Bonneville,4/6/00,Sp,916,7,53,29,,,,,,,,,8.7
Bonneville,4/7/00,Sp,1299,6,45,26,,,,,,,,,8.8
Bonneville,4/8/00,Sp,1104,12,49,22,,,,,,,,,9
Bonneville,4/9/00,Sp,2147,25,37,21,,,,,,,,,9.3
Bonneville,4/10/00,Sp,3161,42,34,13,,,,,,,,,9.5
Bonneville,4/11/00,Sp,4539,54,34,15,,,,,,,,,9.8
Bonneville,4/12/00,Sp,3824,57,49,24,,,,,,,,,10.1
Bonneville,4/13/00,Sp,5313,62,35,17,,,,,,,,,10.3
Bonneville,4/14/00,Sp,3258,64,40,12,,,,,,,,,10.2
Bonneville,4/15/00,Sp,2028,65,22,6,,,,,,,,,10.1
Bonneville,4/16/00,Sp,2678,73,44,13,,,,,,,,,10.3
Bonneville,4/17/00,Sp,8635,246,37,13,,,,,4,,,,10.4
Bonneville,4/18/00,Sp,7026,150,22,3,,,,,4,,,,10.7
