Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1/1/06,,,,10,1,,,,,,,,,4.4
Bonneville,1/2/06,,,,-2,,,,,,,,,,4.5
Bonneville,1/3/06,,,,-7,,,,,,,,,,4.6
Bonneville,1/4/06,,,,16,2,,,,,,,,,4.7
Bonneville,1/5/06,,,,15,1,,,,,,,,,4.8
Bonneville,1/6/06,,,,36,2,,,,,,,,,4.9
Bonneville,1/7/06,,,,130,1,,,,,,,,,5.1
Bonneville,1/8/06,,,,147,8,,,,,,,,,5.3
Bonneville,1/9/06,,,,98,8,,,,,,,,,5.3
Bonneville,1/10/06,,,,55,-2,,,,,,,,,5.5
Bonneville,1/11/06,,,,38,,,,,,,,,,5.6
Bonneville,1/12/06,,,,1,-1,,,,,,,,,5.4
Bonneville,1/13/06,,,,71,-1,,,,,,,,,5.3
Bonneville,1/14/06,,,,63,3,,,,,,,,,5.2
Bonneville,1/15/06,,,,78,5,,,,,,,,,5.1
Bonneville,1/16/06,,,,81,8,,,,,,,,,5
Bonneville,1/17/06,,,,65,4,,,,,,,,,4.9
Bonneville,1/18/06,,,,46,,,,,,,,,,5
Bonneville,1/19/06,,,,36,3,,,,,,,,,5.1
Bonneville,1/20/06,,,,21,5,,,,,,,,,5.2
Bonneville,1/21/06,,,,59,7,,,,,,,,,5.2
Bonneville,1/22/06,,,,49,4,,,,,,,,,5.2
Bonneville,1/23/06,,,,65,8,,,,,,,,,5.1
Bonneville,1/24/06,,,,43,1,,,,,,,,,5.1
Bonneville,1/25/06,,,,70,9,,,,,,,,,5.1
Bonneville,1/26/06,,,,62,9,,,,,,,,,5
Bonneville,1/27/06,,,,58,6,,,,,,,,,5
Bonneville,1/28/06,,,,33,1,,,,,,,,,4.9
Bonneville,1/29/06,,,,40,7,,,,,,,,,5
Bonneville,1/30/06,,,,70,6,,,,,,,,,5
Bonneville,1/31/06,,,,40,,,,,,,,,,5
Bonneville,2/1/06,,,,41,-1,,,,,,,,,4.9
Bonneville,2/2/06,,,,30,-1,,,,,,,,,4.9
Bonneville,2/3/06,,,,43,8,,,,,,,,,4.9
Bonneville,2/4/06,,,,42,5,,,,,,,,,5
Bonneville,2/5/06,,,,19,1,,,,,,,,,4.9
Bonneville,2/6/06,,,,18,3,,,,,,,,,4.8
Bonneville,2/7/06,,,,8,2,,,,,,,,,4.7
Bonneville,2/8/06,,,,22,1,,,,,,,,,4.7
Bonneville,2/9/06,,,,10,2,,,,,,,,,4.7
Bonneville,2/10/06,,,,9,2,,,,,,,,,4.7
Bonneville,2/11/06,,,,28,9,,,,,,,,,4.6
Bonneville,2/12/06,,,,19,1,,,,,,,,,4.6
Bonneville,2/13/06,,,,23,7,,,,,,,,,4.7
Bonneville,2/14/06,,,,14,1,,,,,,,,,4.7
Bonneville,2/15/06,,,,17,3,,,,,,,,,4.7
Bonneville,2/16/06,,,,13,2,,,,,,,,,4.5
Bonneville,2/17/06,,,,5,2,,,,,,,,,3.9
Bonneville,2/18/06,,,,4,1,,,,,,,,,3.5
Bonneville,2/19/06,,,,5,,,,,,,,,,3.3
Bonneville,2/20/06,,,,4,1,,,,,,,,,3.3
Bonneville,2/21/06,,,,2,,,,,,,,,,3.4
Bonneville,2/22/06,,1,,10,3,,,,,,,,,3.7
Bonneville,2/23/06,,,,14,2,,,,,,,,,3.8
Bonneville,2/24/06,,,,7,2,,,,,,,,,3.8
Bonneville,2/25/06,,,,4,2,,,,,,,,,3.5
Bonneville,2/26/06,,,,25,7,,,,,,,,,3.3
Bonneville,2/27/06,,,,24,4,,,,,,,,,3.3
