,,,"COLUMBIA R MAINSTEM--BUOY
10 TO TONGUE PT","COLUMBIA R MAINSTEM--
TONGUE PT TO LONGVIEW BRIDGE","COLUMBIA R MAINSTEM--
LONGVIEW BRIDGE TO I-5
BRIDGE","COLUMBIA R MAINSTEM--I-5
BRIDGE TO BONNEVILLE DAM","COLUMBIA R MAINSTEM--
BONNEVILLE DAM TO THE DALLES","COLUMBIA R MAINSTEM--THE
DALLES DAM TO JOHN DAY DAM","COLUMBIA R MAINSTEM--JOHN
DAY DAM TO MCNARY DAM","COLUMBIA R MAINSTEM--
MCNARY DAM TO STATELINE"
2017,August,Summer,47,0,7,7,0,61,0,0
2017,September,Summer,7,0,61,34,88,7,0,81
2017,October,Summer,0,0,14,7,14,54,0,7
2017,November,Summer,0,0,0,0,7,0,68,0
2017,December,Summer,0,0,0,0,0,0,7,54
2018,January,Winter,0,0,0,0,0,0,0,0
2018,February,Winter,0,66,22,0,0,0,0,0
2018,March,Winter,0,11,66,0,0,0,0,0
2018,April,Winter,0,44,22,11,0,0,0,0
2018,May,Winter,0,0,0,0,0,0,0,0
2018,June,Winter,0,0,0,0,0,0,0,0
2018,July,Winter,0,0,0,0,0,0,0,0
2018,August,Winter,0,0,0,0,0,0,0,0
2018,September,Winter,0,0,0,0,0,0,0,0
2018,October,Winter,0,0,0,0,0,0,0,0
2018,November,Winter,0,0,0,0,0,0,0,0
2018,December,Winter,0,0,0,0,0,0,0,0
2018,January,Summer,0,0,0,0,0,0,0,11
2018,February,Summer,0,0,0,0,0,0,0,22
2018,March,Summer,0,0,0,0,0,0,0,0
2018,April,Summer,0,0,0,0,0,0,0,0
2018,May,Summer,0,199,55,11,0,0,0,0
2018,June,Summer,0,421,188,11,11,0,0,0
2018,July,Summer,0,299,188,277,144,0,11,0
2018,August,Summer,22,66,66,177,77,33,11,0
2018,September,Summer,0,0,22,0,0,0,11,0
2018,October,Summer,0,0,0,11,0,0,0,0
2018,November,Summer,0,0,0,0,0,0,0,0
2018,December,Summer,0,0,0,0,0,0,0,0
